County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	45,575	15,094	24.88%	60,669
ALACHUA	1,413	247	14.88%	1,660
BAKER	533	92	14.72%	625
BAY	414	112	21.29%	526
BREVARD	1,174	420	26.35%	1,594
BROWARD	4,180	1,691	28.80%	5,871
CALHOUN	5	5	50.00%	10
CHARLOTTE	478	231	32.58%	709
CITRUS	235	82	25.87%	317
CLAY	433	56	11.45%	489
COLLIER	737	150	16.91%	887
COLUMBIA	131	14	9.66%	145
DESOTO	27	32	54.24%	59
DUVAL	2,688	1,199	30.85%	3,887
ESCAMBIA	989	356	26.47%	1,345
FLAGLER	100	12	10.71%	112
FRANKLIN	2	13	86.67%	15
GADSDEN	0	0		0
GULF	3	17	85.00%	20
HARDEE	23	2	8.00%	25
HENDRY	13	16	55.17%	29
HERNANDO	490	248	33.60%	738
HIGHLANDS	202	101	33.33%	303
HILLSBOROUGH	3,293	832	20.17%	4,125
HOLMES	7	13	65.00%	20
INDIAN RIVER	285	176	38.18%	461
JACKSON	34	47	58.02%	81
LAKE	642	174	21.32%	816
LEE	1,502	541	26.48%	2,043
LEON	669	219	24.66%	888
MADISON	9	6	40.00%	15
MANATEE	682	220	24.39%	902
MARION	791	319	28.74%	1,110
MARTIN	262	229	46.64%	491
MIAMI-DADE	6,240	2,160	25.71%	8,400
MONROE	84	38	31.15%	122
NASSAU	32	62	65.96%	94
OKALOOSA	383	89	18.86%	472
OKEECHOBEE	35	65	65.00%	100
ORANGE	3,292	450	12.03%	3,742
OSCEOLA	813	212	20.68%	1,025
PALM BEACH	3,023	1,109	26.84%	4,132
PASCO	1,136	307	21.28%	1,443
PINELLAS	2,522	873	25.71%	3,395
POLK	1,306	289	18.12%	1,595
PUTNAM	65	19	22.62%	84
SANTA ROSA	123	192	60.95%	315
SARASOTA	1,026	293	22.21%	1,319
SEMINOLE	683	164	19.36%	847
ST. JOHNS	161	166	50.76%	327
ST. LUCIE	724	148	16.97%	872
SUMTER	231	116	33.43%	347
SUWANNEE	0	0		0
TAYLOR	7	9	56.25%	16
UNION	80	45	36.00%	125
VOLUSIA	1,060	343	24.45%	1,403
WALTON	61	56	47.86%	117
WASHINGTON	42	17	28.81%	59
