County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	45,436	14,982	24.80%	60,418
ALACHUA	1,405	260	15.62%	1,665
BAKER	535	94	14.94%	629
BAY	416	119	22.24%	535
BREVARD	1,181	399	25.25%	1,580
BROWARD	4,205	1,352	24.33%	5,557
CALHOUN	6	4	40.00%	10
CHARLOTTE	460	263	36.38%	723
CITRUS	220	104	32.10%	324
CLAY	429	58	11.91%	487
COLLIER	756	118	13.50%	874
COLUMBIA	139	9	6.08%	148
DESOTO	34	21	38.18%	55
DUVAL	2,666	1,264	32.16%	3,930
ESCAMBIA	965	377	28.09%	1,342
FLAGLER	103	9	8.04%	112
FRANKLIN	3	12	80.00%	15
GADSDEN	0	0		0
GULF	2	19	90.48%	21
HARDEE	19	6	24.00%	25
HENDRY	12	17	58.62%	29
HERNANDO	480	249	34.16%	729
HIGHLANDS	183	104	36.24%	287
HILLSBOROUGH	3,209	896	21.83%	4,105
HOLMES	7	13	65.00%	20
INDIAN RIVER	297	158	34.73%	455
JACKSON	41	40	49.38%	81
LAKE	665	163	19.69%	828
LEE	1,480	566	27.66%	2,046
LEON	614	274	30.86%	888
MADISON	6	9	60.00%	15
MANATEE	695	249	26.38%	944
MARION	778	329	29.72%	1,107
MARTIN	252	234	48.15%	486
MIAMI-DADE	6,190	2,096	25.30%	8,286
MONROE	78	38	32.76%	116
NASSAU	25	61	70.93%	86
OKALOOSA	375	93	19.87%	468
OKEECHOBEE	38	62	62.00%	100
ORANGE	3,316	415	11.12%	3,731
OSCEOLA	893	209	18.97%	1,102
PALM BEACH	3,027	1,116	26.94%	4,143
PASCO	1,099	333	23.25%	1,432
PINELLAS	2,552	881	25.66%	3,433
POLK	1,287	281	17.92%	1,568
PUTNAM	62	22	26.19%	84
SANTA ROSA	132	182	57.96%	314
SARASOTA	1,034	314	23.29%	1,348
SEMINOLE	739	186	20.11%	925
ST. JOHNS	167	156	48.30%	323
ST. LUCIE	724	149	17.07%	873
SUMTER	222	125	36.02%	347
SUWANNEE	0	0		0
TAYLOR	6	10	62.50%	16
UNION	75	50	40.00%	125
VOLUSIA	1,021	349	25.47%	1,370
WALTON	65	52	44.44%	117
WASHINGTON	46	13	22.03%	59
