County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	47,001	12,721	21.30%	59,722
ALACHUA	1,385	284	17.02%	1,669
BAKER	529	96	15.36%	625
BAY	419	98	18.96%	517
BREVARD	1,187	383	24.39%	1,570
BROWARD	4,316	1,058	19.69%	5,374
CALHOUN	8	2	20.00%	10
CHARLOTTE	477	235	33.01%	712
CITRUS	234	83	26.18%	317
CLAY	480	49	9.26%	529
COLLIER	754	134	15.09%	888
COLUMBIA	120	16	11.76%	136
DESOTO	39	16	29.09%	55
DUVAL	2,939	803	21.46%	3,742
ESCAMBIA	1,014	330	24.55%	1,344
FLAGLER	96	16	14.29%	112
FRANKLIN	1	14	93.33%	15
GADSDEN	0	0		0
GULF	3	17	85.00%	20
HARDEE	22	0	0.00%	22
HENDRY	11	18	62.07%	29
HERNANDO	510	231	31.17%	741
HIGHLANDS	197	98	33.22%	295
HILLSBOROUGH	3,467	501	12.63%	3,968
HOLMES	5	15	75.00%	20
INDIAN RIVER	312	164	34.45%	476
JACKSON	42	39	48.15%	81
LAKE	704	142	16.78%	846
LEE	1,499	249	14.24%	1,748
LEON	660	237	26.42%	897
MADISON	8	7	46.67%	15
MANATEE	633	180	22.14%	813
MARION	780	227	22.54%	1,007
MARTIN	239	251	51.22%	490
MIAMI-DADE	6,744	1,819	21.24%	8,563
MONROE	77	42	35.29%	119
NASSAU	31	57	64.77%	88
OKALOOSA	351	103	22.69%	454
OKEECHOBEE	48	52	52.00%	100
ORANGE	3,296	395	10.70%	3,691
OSCEOLA	888	181	16.93%	1,069
PALM BEACH	3,104	1,046	25.20%	4,150
PASCO	1,191	202	14.50%	1,393
PINELLAS	2,498	699	21.86%	3,197
POLK	1,366	202	12.88%	1,568
PUTNAM	64	20	23.81%	84
SANTA ROSA	121	207	63.11%	328
SARASOTA	1,032	268	20.62%	1,300
SEMINOLE	730	148	16.86%	878
ST. JOHNS	170	160	48.48%	330
ST. LUCIE	744	158	17.52%	902
SUMTER	234	113	32.56%	347
SUWANNEE	0	0		0
TAYLOR	5	11	68.75%	16
UNION	67	30	30.93%	97
VOLUSIA	1,053	734	41.07%	1,787
WALTON	58	61	51.26%	119
WASHINGTON	39	20	33.90%	59
