County	Adult ICU Census	Available Adult ICU	Available Adult ICU 1	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 1	Total PediatricICU Capacity
Grand Total	4,753	1,360	22.25%	6,113	405	213	34.47%	618
ALACHUA	272	36	11.69%	308	30	17	36.17%	47
BAKER	0	0		0	0	0		0
BAY	48	32	40.00%	80	1	3	75.00%	4
BREVARD	121	43	26.22%	164	0	0		0
BROWARD	395	98	19.88%	493	32	28	46.67%	60
CALHOUN	0	0		0	0	0		0
CHARLOTTE	38	17	30.91%	55	0	0		0
CITRUS	32	8	20.00%	40	0	0		0
CLAY	34	7	17.07%	41	2	4	66.67%	6
COLLIER	59	22	27.16%	81	0	0		0
COLUMBIA	25	2	7.41%	27	0	0		0
DESOTO	7	1	12.50%	8	0	0		0
DUVAL	329	104	24.02%	433	29	11	27.50%	40
ESCAMBIA	113	5	4.24%	118	6	10	62.50%	16
FLAGLER	15	3	16.67%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	46	23	33.33%	69	0	0		0
HIGHLANDS	24	13	35.14%	37	0	0		0
HILLSBOROUGH	352	86	19.63%	438	25	19	43.18%	44
HOLMES	0	0		0	0	0		0
INDIAN RIVER	21	9	30.00%	30	0	0		0
JACKSON	1	5	83.33%	6	0	0		0
LAKE	76	16	17.39%	92	0	0		0
LEE	109	22	16.79%	131	64	27	29.67%	91
LEON	57	15	20.83%	72	0	9	100.00%	9
MADISON	0	0		0	0	0		0
MANATEE	62	33	34.74%	95	0	0		0
MARION	74	32	30.19%	106	0	0		0
MARTIN	13	22	62.86%	35	0	0		0
MIAMI-DADE	688	295	30.01%	983	72	10	12.20%	82
MONROE	7	7	50.00%	14	0	0		0
NASSAU	8	0	0.00%	8	0	0		0
OKALOOSA	49	5	9.26%	54	0	0		0
OKEECHOBEE	10	0	0.00%	10	0	0		0
ORANGE	264	42	13.73%	306	79	44	35.77%	123
OSCEOLA	79	21	21.00%	100	1	6	85.71%	7
PALM BEACH	321	99	23.57%	420	15	17	53.13%	32
PASCO	127	10	7.30%	137	0	0		0
PINELLAS	291	37	11.28%	328	44	2	4.35%	46
POLK	126	35	21.74%	161	0	0		0
PUTNAM	10	0	0.00%	10	0	0		0
SANTA ROSA	8	11	57.89%	19	0	0		0
SARASOTA	72	50	40.98%	122	0	0		0
SEMINOLE	51	16	23.88%	67	0	0		0
ST. JOHNS	23	21	47.73%	44	0	0		0
ST. LUCIE	84	6	6.67%	90	5	1	16.67%	6
SUMTER	32	8	20.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	165	35	17.50%	200	0	5	100.00%	5
WALTON	15	8	34.78%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
