County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,993	1,043	17.28%	6,036	397	193	32.71%	590
ALACHUA	278	30	9.74%	308	40	7	14.89%	47
BAKER	0	0		0	0	0		0
BAY	60	0	0.00%	60	1	3	75.00%	4
BREVARD	121	42	25.77%	163	0	0		0
BROWARD	394	57	12.64%	451	31	22	41.51%	53
CALHOUN	0	0		0	0	0		0
CHARLOTTE	42	7	14.29%	49	0	0		0
CITRUS	30	7	18.92%	37	0	0		0
CLAY	39	3	7.14%	42	3	3	50.00%	6
COLLIER	63	18	22.22%	81	0	0		0
COLUMBIA	27	2	6.90%	29	0	0		0
DESOTO	8	0	0.00%	8	0	0		0
DUVAL	359	67	15.73%	426	24	16	40.00%	40
ESCAMBIA	115	3	2.54%	118	6	10	62.50%	16
FLAGLER	14	4	22.22%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	53	16	23.19%	69	0	0		0
HIGHLANDS	20	15	42.86%	35	0	0		0
HILLSBOROUGH	351	40	10.23%	391	24	18	42.86%	42
HOLMES	0	0		0	0	0		0
INDIAN RIVER	20	14	41.18%	34	0	0		0
JACKSON	4	2	33.33%	6	0	0		0
LAKE	71	17	19.32%	88	0	0		0
LEE	96	13	11.93%	109	55	28	33.73%	83
LEON	64	8	11.11%	72	1	8	88.89%	9
MADISON	0	0		0	0	0		0
MANATEE	60	36	37.50%	96	0	0		0
MARION	75	31	29.25%	106	0	0		0
MARTIN	12	23	65.71%	35	0	0		0
MIAMI-DADE	822	202	19.73%	1,024	62	17	21.52%	79
MONROE	7	7	50.00%	14	0	0		0
NASSAU	7	1	12.50%	8	0	0		0
OKALOOSA	50	7	12.28%	57	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	276	55	16.62%	331	86	28	24.56%	114
OSCEOLA	94	13	12.15%	107	1	5	83.33%	6
PALM BEACH	325	85	20.73%	410	19	13	40.63%	32
PASCO	122	5	3.94%	127	0	0		0
PINELLAS	291	31	9.63%	322	40	8	16.67%	48
POLK	147	16	9.82%	163	0	0		0
PUTNAM	9	1	10.00%	10	0	0		0
SANTA ROSA	10	13	56.52%	23	0	0		0
SARASOTA	75	50	40.00%	125	0	0		0
SEMINOLE	59	12	16.90%	71	0	0		0
ST. JOHNS	28	16	36.36%	44	0	0		0
ST. LUCIE	79	11	12.22%	90	3	3	50.00%	6
SUMTER	31	9	22.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	168	40	19.23%	208	1	4	80.00%	5
WALTON	9	14	60.87%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
