County	X
Grand Total	3,780
ALACHUA	99
BAKER	1
BAY	42
BRADFORD	0
BREVARD	75
BROWARD	387
CALHOUN	0
CHARLOTTE	37
CITRUS	64
CLAY	42
COLLIER	74
COLUMBIA	23
DESOTO	20
DUVAL	211
ESCAMBIA	60
FLAGLER	7
FRANKLIN	0
GADSDEN	0
GULF	0
HARDEE	0
HENDRY	2
HERNANDO	54
HIGHLANDS	64
HILLSBOROUGH	261
HOLMES	1
INDIAN RIVER	10
JACKSON	29
LAKE	51
LEE	117
LEON	39
MADISON	0
MANATEE	43
MARION	62
MARTIN	26
MIAMI-DADE	535
MONROE	6
NASSAU	3
OKALOOSA	46
OKEECHOBEE	8
ORANGE	183
OSCEOLA	103
PALM BEACH	270
PASCO	108
PINELLAS	172
POLK	113
PUTNAM	11
SANTA ROSA	14
SARASOTA	70
SEMINOLE	57
ST. JOHNS	11
ST. LUCIE	63
SUMTER	18
SUWANNEE	0
TAYLOR	0
UNION	1
VOLUSIA	76
WALTON	10
WASHINGTON	1
