County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,809	14,723	23.93%	61,532
ALACHUA	1,481	261	14.98%	1,742
BAKER	500	126	20.13%	626
BAY	434	120	21.66%	554
BRADFORD	5	5	50.00%	10
BREVARD	1,225	402	24.71%	1,627
BROWARD	4,248	1,015	19.29%	5,263
CALHOUN	3	7	70.00%	10
CHARLOTTE	455	165	26.61%	620
CITRUS	224	70	23.81%	294
CLAY	472	90	16.01%	562
COLLIER	723	146	16.80%	869
COLUMBIA	91	0	0.00%	91
DESOTO	19	36	65.45%	55
DUVAL	2,852	944	24.87%	3,796
ESCAMBIA	1,030	444	30.12%	1,474
FLAGLER	95	4	4.04%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	592	361	37.88%	953
GULF	3	18	85.71%	21
HARDEE	21	4	16.00%	25
HENDRY	9	20	68.97%	29
HERNANDO	516	221	29.99%	737
HIGHLANDS	193	68	26.05%	261
HILLSBOROUGH	3,306	699	17.45%	4,005
HOLMES	10	10	50.00%	20
INDIAN RIVER	332	134	28.76%	466
JACKSON	40	49	55.06%	89
LAKE	684	207	23.23%	891
LEE	1,523	290	16.00%	1,813
LEON	733	127	14.77%	860
MADISON	7	8	53.33%	15
MANATEE	673	104	13.38%	777
MARION	777	151	16.27%	928
MARTIN	277	153	35.58%	430
MIAMI-DADE	6,528	2,354	26.50%	8,882
MONROE	60	97	61.78%	157
NASSAU	40	28	41.18%	68
OKALOOSA	372	79	17.52%	451
OKEECHOBEE	45	55	55.00%	100
ORANGE	3,444	1,014	22.75%	4,458
OSCEOLA	871	298	25.49%	1,169
PALM BEACH	2,817	1,207	30.00%	4,024
PASCO	1,142	223	16.34%	1,365
PINELLAS	2,209	939	29.83%	3,148
POLK	1,337	352	20.84%	1,689
PUTNAM	65	19	22.62%	84
SANTA ROSA	116	233	66.76%	349
SARASOTA	1,060	157	12.90%	1,217
SEMINOLE	731	208	22.15%	939
ST. JOHNS	199	133	40.06%	332
ST. LUCIE	724	151	17.26%	875
SUMTER	252	95	27.38%	347
SUWANNEE	0	0		0
TAYLOR	4	12	75.00%	16
UNION	53	27	33.75%	80
VOLUSIA	1,077	502	31.79%	1,579
WALTON	68	49	41.88%	117
WASHINGTON	41	18	30.51%	59
