County	FileNumber	ProviderName	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	Total	Total	46,809	14,723	23.93%	61,532
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	867	179	17.11%	1,046
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	467	40	7.89%	507
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	47	13	21.67%	60
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	52	29	35.80%	81
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	48	0	0.00%	48
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	5	8	61.54%	13
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	495	118	19.25%	613
BAY	100026	ASCENSION SACRED HEART BAY	122	27	18.12%	149
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	202	31	13.30%	233
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	48	38	44.19%	86
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	40	16	28.57%	56
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	22	8	26.67%	30
BRADFORD	100103	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	5	5	50.00%	10
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	419	89	17.52%	508
BREVARD	100028	PARRISH MEDICAL CENTER	100	75	42.86%	175
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	128	56	30.43%	184
BREVARD	100177	CAPE CANAVERAL HOSPITAL	105	35	25.00%	140
BREVARD	104024	CIRCLES OF CARE, INC	32	20	38.46%	52
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	60	0	0.00%	60
BREVARD	110036	DEVEREUX FLORIDA	100	0	0.00%	100
BREVARD	120007	PALM BAY HOSPITAL	90	25	21.74%	115
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	37	68	64.76%	105
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	46	14	23.33%	60
BREVARD	23960092	VIERA HOSPITAL	78	6	7.14%	84
BREVARD	23960153	PALM POINT BEHAVIORAL HEALTH	30	14	31.82%	44
BROWARD	100038	MEMORIAL REGIONAL HOSPITAL	700	162	18.79%	862
BROWARD	100039	BROWARD HEALTH MEDICAL CENTER	376	21	5.29%	397
BROWARD	100042	KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD	74	45	37.82%	119
BROWARD	100056	CLEVELAND CLINIC HOSPITAL	213	17	7.39%	230
BROWARD	100073	HOLY CROSS HOSPITAL	224	124	35.63%	348
BROWARD	100086	BROWARD HEALTH NORTH	225	8	3.43%	233
BROWARD	100120	KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE	44	19	30.16%	63
BROWARD	100167	PLANTATION GENERAL HOSPITAL	138	102	42.50%	240
BROWARD	100189	NORTHWEST MEDICAL CENTER	214	79	26.96%	293
BROWARD	100200	BROWARD HEALTH IMPERIAL POINT	105	14	11.76%	119
BROWARD	100210	FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE	162	35	17.77%	197
BROWARD	100224	UNIVERSITY HOSPITAL AND MEDICAL CENTER	159	158	49.84%	317
BROWARD	100225	MEMORIAL REGIONAL HOSPITAL SOUTH	97	22	18.49%	119
BROWARD	100228	WESTSIDE REGIONAL MEDICAL CENTER	201	49	19.60%	250
BROWARD	100230	MEMORIAL HOSPITAL PEMBROKE	144	11	7.10%	155
BROWARD	103027	ST ANTHONY'S REHABILITATION HOSPITAL	12	14	53.85%	26
BROWARD	103028	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE	91	19	17.27%	110
