County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,692	1,450	23.61%	6,142	447	224	33.38%	671
ALACHUA	260	48	15.58%	308	39	8	17.02%	47
BAKER	0	0		0	0	0		0
BAY	52	12	18.75%	64	3	1	25.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	125	41	24.70%	166	0	0		0
BROWARD	375	95	20.21%	470	57	24	29.63%	81
CALHOUN	0	0		0	0	0		0
CHARLOTTE	44	8	15.38%	52	0	0		0
CITRUS	33	7	17.50%	40	0	0		0
CLAY	39	11	22.00%	50	2	2	50.00%	4
COLLIER	52	33	38.82%	85	0	0		0
COLUMBIA	13	0	0.00%	13	0	0		0
DESOTO	2	6	75.00%	8	0	0		0
DUVAL	328	109	24.94%	437	21	19	47.50%	40
ESCAMBIA	128	23	15.23%	151	4	12	75.00%	16
FLAGLER	14	4	22.22%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	4	100.00%	4	0	0		0
HERNANDO	40	22	35.48%	62	0	0		0
HIGHLANDS	21	6	22.22%	27	0	0		0
HILLSBOROUGH	324	61	15.84%	385	26	12	31.58%	38
HOLMES	0	0		0	0	0		0
INDIAN RIVER	16	17	51.52%	33	0	0		0
JACKSON	3	5	62.50%	8	0	0		0
LAKE	69	35	33.65%	104	0	0		0
LEE	105	25	19.23%	130	65	21	24.42%	86
LEON	70	2	2.78%	72	4	5	55.56%	9
MADISON	0	0		0	0	0		0
MANATEE	52	16	23.53%	68	0	0		0
MARION	89	7	7.29%	96	0	0		0
MARTIN	21	4	16.00%	25	0	0		0
MIAMI-DADE	780	213	21.45%	993	72	45	38.46%	117
MONROE	6	7	53.85%	13	0	0		0
NASSAU	7	1	12.50%	8	0	0		0
OKALOOSA	50	4	7.41%	54	0	0		0
OKEECHOBEE	2	6	75.00%	8	0	0		0
ORANGE	268	129	32.49%	397	93	33	26.19%	126
OSCEOLA	82	41	33.33%	123	0	0		0
PALM BEACH	248	141	36.25%	389	15	19	55.88%	34
PASCO	122	19	13.48%	141	0	0		0
PINELLAS	234	63	21.21%	297	39	5	11.36%	44
POLK	150	34	18.48%	184	4	10	71.43%	14
PUTNAM	10	0	0.00%	10	0	0		0
SANTA ROSA	10	12	54.55%	22	0	0		0
SARASOTA	76	33	30.28%	109	0	0		0
SEMINOLE	58	15	20.55%	73	0	0		0
ST. JOHNS	26	18	40.91%	44	0	0		0
ST. LUCIE	75	15	16.67%	90	3	3	50.00%	6
SUMTER	35	5	12.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	160	88	35.48%	248	0	5	100.00%	5
WALTON	18	5	21.74%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
