County	FileNumber	ProviderName	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	Total	Total	48,099	13,795	22.29%	61,894
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	897	149	14.24%	1,046
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	489	53	9.78%	542
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	41	19	31.67%	60
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	57	24	29.63%	81
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	39	9	18.75%	48
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	7	5	41.67%	12
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	515	98	15.99%	613
BAY	100026	ASCENSION SACRED HEART BAY	116	34	22.67%	150
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	221	31	12.30%	252
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	57	29	33.72%	86
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	46	10	17.86%	56
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	22	8	26.67%	30
BRADFORD	100103	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	5	5	50.00%	10
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	427	75	14.94%	502
BREVARD	100028	PARRISH MEDICAL CENTER	109	67	38.07%	176
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	144	50	25.77%	194
BREVARD	100177	CAPE CANAVERAL HOSPITAL	91	49	35.00%	140
BREVARD	104024	CIRCLES OF CARE, INC	32	20	38.46%	52
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	47	13	21.67%	60
BREVARD	110036	DEVEREUX FLORIDA	100	0	0.00%	100
BREVARD	120007	PALM BAY HOSPITAL	96	19	16.52%	115
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	44	61	58.10%	105
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	42	18	30.00%	60
BREVARD	23960092	VIERA HOSPITAL	66	18	21.43%	84
BREVARD	23960153	PALM POINT BEHAVIORAL HEALTH	29	15	34.09%	44
BROWARD	100038	MEMORIAL REGIONAL HOSPITAL	602	191	24.09%	793
BROWARD	100039	BROWARD HEALTH MEDICAL CENTER	357	42	10.53%	399
BROWARD	100042	KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD	79	40	33.61%	119
BROWARD	100056	CLEVELAND CLINIC HOSPITAL	438	22	4.78%	460
BROWARD	100073	HOLY CROSS HOSPITAL	236	112	32.18%	348
BROWARD	100086	BROWARD HEALTH NORTH	221	11	4.74%	232
BROWARD	100120	KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE	41	22	34.92%	63
BROWARD	100167	PLANTATION GENERAL HOSPITAL	131	109	45.42%	240
BROWARD	100189	NORTHWEST MEDICAL CENTER	216	74	25.52%	290
BROWARD	100200	BROWARD HEALTH IMPERIAL POINT	128	2	1.54%	130
BROWARD	100210	FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE	180	12	6.25%	192
BROWARD	100224	UNIVERSITY HOSPITAL AND MEDICAL CENTER	145	172	54.26%	317
BROWARD	100225	MEMORIAL REGIONAL HOSPITAL SOUTH	95	24	20.17%	119
BROWARD	100228	WESTSIDE REGIONAL MEDICAL CENTER	189	61	24.40%	250
BROWARD	100230	MEMORIAL HOSPITAL PEMBROKE	156	2	1.27%	158
BROWARD	103027	ST ANTHONY'S REHABILITATION HOSPITAL	5	21	80.77%	26
BROWARD	103028	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE	81	29	26.36%	110
BROWARD	104001	SOUTH FLORIDA STATE HOSPITAL	302	0	0.00%	302
BROWARD	104015	LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES	32	18	36.00%	50
BROWARD	104026	FORT LAUDERDALE BEHAVIORAL HEALTH CENTER	92	3	3.16%	95
BROWARD	110019	BROWARD HEALTH CORAL SPRINGS	177	20	10.15%	197
BROWARD	111527	MEMORIAL HOSPITAL WEST	390	33	7.80%	423
BROWARD	23960050	MEMORIAL HOSPITAL MIRAMAR	143	35	19.66%	178
CALHOUN	100112	CALHOUN-LIBERTY HOSPITAL	8	2	20.00%	10
CHARLOTTE	100047	BAYFRONT HEALTH PUNTA GORDA	99	28	22.05%	127
CHARLOTTE	100077	BAYFRONT HEALTH PORT CHARLOTTE	190	62	24.60%	252
CHARLOTTE	100236	FAWCETT MEMORIAL HOSPITAL	198	55	21.74%	253
CITRUS	100023	CITRUS MEMORIAL HOSPITAL	148	56	27.45%	204
CITRUS	100249	BAYFRONT HEALTH SEVEN RIVERS	96	8	7.69%	104
CLAY	100016	KINDRED HOSPITAL-NORTH FLORIDA	59	14	19.18%	73
CLAY	100226	ORANGE PARK MEDICAL CENTER	341	17	4.75%	358
CLAY	23960117	ASCENSION ST VINCENT'S CLAY COUNTY	113	19	14.39%	132
COLLIER	100018	NAPLES COMMUNITY HOSPITAL	256	21	7.58%	277
COLLIER	110043	WILLOUGH AT NAPLES, THE	57	30	34.48%	87
COLLIER	120006	NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS	224	43	16.10%	267
COLLIER	23960025	PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE	109	0	0.00%	109
COLLIER	23960057	PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER	82	20	19.61%	102
COLLIER	23960116	LANDMARK HOSPITAL OF SOUTHWEST FLORIDA	31	19	38.00%	50
COLUMBIA	100156	LAKE CITY MEDICAL CENTER	93	0	0.00%	93
DESOTO	100175	DESOTO MEMORIAL HOSPITAL	23	34	59.65%	57
DUVAL	100001	UF HEALTH JACKSONVILLE	536	67	11.11%	603
DUVAL	100040	ASCENSION ST VINCENT'S RIVERSIDE	334	206	38.15%	540
DUVAL	100088	BAPTIST MEDICAL CENTER JACKSONVILLE	416	68	14.05%	484
DUVAL	100117	BAPTIST MEDICAL CENTER - BEACHES	108	42	28.00%	150
DUVAL	100151	MAYO CLINIC	317	4	1.25%	321
DUVAL	100179	MEMORIAL HOSPITAL JACKSONVILLE	322	177	35.47%	499
DUVAL	100184	BROOKS REHABILITATION HOSPITAL	129	10	7.19%	139
DUVAL	100196	CURAHEALTH JACKSONVILLE LLC	28	2	6.67%	30
DUVAL	104016	RIVER POINT BEHAVIORAL HEALTH	38	46	54.76%	84
DUVAL	23960052	BAPTIST MEDICAL CENTER SOUTH	271	51	15.84%	322
DUVAL	23960061	WEKIVA SPRINGS	53	59	52.68%	112
DUVAL	23960088	ASCENSION ST VINCENT'S SOUTHSIDE	139	83	37.39%	222
DUVAL	23960123	UF HEALTH NORTH	93	1	1.06%	94
DUVAL	23960157	WOLFSON CHILDREN'S HOSPITAL	161	39	19.50%	200
ESCAMBIA	100025	ASCENSION SACRED HEART PENSACOLA	408	134	24.72%	542
ESCAMBIA	100093	BAPTIST HOSPITAL	320	106	24.88%	426
ESCAMBIA	100231	WEST FLORIDA HOSPITAL	298	115	27.85%	413
ESCAMBIA	23960076	SELECT SPECIALTY HOSPITAL PENSACOLA	71	4	5.33%	75
FLAGLER	100118	ADVENTHEALTH PALM COAST	88	11	11.11%	99
FRANKLIN	100153	GEORGE E WEEMS MEMORIAL HOSPITAL	3	12	80.00%	15
GADSDEN	100159	CAPITAL REGIONAL MEDICAL CENTER, GADSDEN MEMORIAL CAMPUS	0	4	100.00%	4
GADSDEN	104000	FLORIDA STATE HOSPITAL	547	402	42.36%	949
GULF	23960084	ASCENSION SACRED HEART GULF	7	14	66.67%	21
HARDEE	100282	ADVENTHEALTH WAUCHULA	25	0	0.00%	25
HENDRY	100098	HENDRY REGIONAL MEDICAL CENTER	12	17	58.62%	29
HERNANDO	100071	BAYFRONT HEALTH BROOKSVILLE	63	47	42.73%	110
HERNANDO	100264	OAK HILL HOSPITAL	320	35	9.86%	355
HERNANDO	110054	SPRINGBROOK HOSPITAL	61	0	0.00%	61
HERNANDO	111525	BAYFRONT HEALTH SPRING HILL	65	61	48.41%	126
HERNANDO	23960042	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SPRING HILL	55	25	31.25%	80
HIGHLANDS	100049	HIGHLANDS REGIONAL MEDICAL CENTER	54	11	16.92%	65
HIGHLANDS	100109	ADVENTHEALTH SEBRING	158	13	7.60%	171
HIGHLANDS	120013	ADVENTHEALTH LAKE PLACID	20	4	16.67%	24
HILLSBOROUGH	100069	ADVENTHEALTH CARROLLWOOD	99	11	10.00%	110
HILLSBOROUGH	100075	ST JOSEPHS HOSPITAL	542	189	25.85%	731
HILLSBOROUGH	100115	KINDRED HOSPITAL-BAY AREA-TAMPA	53	20	27.40%	73
HILLSBOROUGH	100128	TAMPA GENERAL HOSPITAL	905	163	15.26%	1,068
HILLSBOROUGH	100132	SOUTH FLORIDA BAPTIST HOSPITAL	74	39	34.51%	113
HILLSBOROUGH	100143	KINDRED HOSPITAL-CENTRAL TAMPA	79	12	13.19%	91
HILLSBOROUGH	100173	ADVENTHEALTH TAMPA	463	73	13.62%	536
HILLSBOROUGH	100206	MEMORIAL HOSPITAL OF TAMPA	111	0	0.00%	111
HILLSBOROUGH	100243	BRANDON REGIONAL HOSPITAL	357	131	26.84%	488
HILLSBOROUGH	100255	TAMPA COMMUNITY HOSPITAL- A CAMPUS OF MEMORIAL HOSPITAL OF TAMPA	28	2	6.67%	30
HILLSBOROUGH	100259	SOUTH BAY HOSPITAL	92	38	29.23%	130
HILLSBOROUGH	110009	H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE HOSPITAL	218	40	15.50%	258
HILLSBOROUGH	23960100	ST JOSEPHS HOSPITAL NORTH	102	25	19.69%	127
HILLSBOROUGH	23960105	ST JOSEPHS HOSPITAL SOUTH	149	28	15.82%	177
HILLSBOROUGH	23960113	ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER	60	0	0.00%	60
HOLMES	100078	DOCTORS MEMORIAL HOSPITAL	17	5	22.73%	22
INDIAN RIVER	100105	CLEVELAND CLINIC INDIAN RIVER HOSPITAL	222	89	28.62%	311
INDIAN RIVER	100217	STEWARD SEBASTIAN RIVER MEDICAL CENTER	81	10	10.99%	91
INDIAN RIVER	110017	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TREASURE COAST	50	16	24.24%	66
JACKSON	100138	CAMPBELLTON-GRACEVILLE HOSPITAL	0	0		0
JACKSON	100142	JACKSON HOSPITAL	57	35	38.04%	92
LAKE	100051	ORLANDO HEALTH SOUTH LAKE HOSPITAL	199	29	12.72%	228
LAKE	100057	ADVENTHEALTH WATERMAN	200	100	33.33%	300
LAKE	100084	UF HEALTH LEESBURG HOSPITAL INC	262	68	20.61%	330
LAKE	100214	UF HEALTH LEESBURG SENIOR BEHAVIORAL HEALTH CENTER	7	14	66.67%	21
LAKE	104018	LIFESTREAM BEHAVIORAL CENTER	29	17	36.96%	46
LEE	100012	LEE MEMORIAL HOSPITAL	285	32	10.09%	317
LEE	100107	LEHIGH REGIONAL MEDICAL CENTER	27	17	38.64%	44
LEE	100220	GULF COAST MEDICAL CENTER LEE MEMORIAL HEALTH SYSTEM	474	63	11.73%	537
LEE	100244	CAPE CORAL HOSPITAL	281	7	2.43%	288
LEE	120005	HEALTHPARK MEDICAL CENTER	352	98	21.78%	450
LEE	23960103	PARK ROYAL HOSPITAL	92	22	19.30%	114
LEE	23960107	SELECT SPECIALTY HOSPITAL-FORT MYERS	37	23	38.33%	60
LEON	100135	TALLAHASSEE MEMORIAL HOSPITAL	417	41	8.95%	458
LEON	100254	CAPITAL REGIONAL MEDICAL CENTER	211	51	19.47%	262
LEON	110021	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TALLAHASSEE	46	9	16.36%	55
LEON	110044	EASTSIDE PSYCHIATRIC HOSPITAL	16	16	50.00%	32
LEON	23960059	SELECT SPECIALTY HOSPITAL - TALLAHASSEE	33	15	31.25%	48
MADISON	100004	MADISON COUNTY MEMORIAL HOSPITAL	10	5	33.33%	15
MANATEE	100035	MANATEE MEMORIAL HOSPITAL	286	18	5.92%	304
MANATEE	100213	BLAKE MEDICAL CENTER	235	32	11.99%	267
MANATEE	110028	CENTERSTONE OF FLORIDA	28	9	24.32%	37
MANATEE	110049	SUNCOAST BEHAVIORAL HEALTH CENTER	44	16	26.67%	60
MANATEE	23960046	LAKEWOOD RANCH MEDICAL CENTER	95	17	15.18%	112
MARION	100062	ADVENTHEALTH OCALA	292	9	2.99%	301
MARION	100212	OCALA REGIONAL MEDICAL CENTER	254	2	0.78%	256
MARION	23960039	WEST MARION COMMUNITY HOSPITAL	185	1	0.54%	186
MARION	23960060	KINDRED HOSPITAL OCALA	9	9	50.00%	18
MARION	23960073	THE VINES HOSPITAL	61	37	37.76%	98
MARION	23960109	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF OCALA	44	36	45.00%	80
MARTIN	100044	CLEVELAND CLINIC MARTIN NORTH HOSPITAL	131	44	25.14%	175
MARTIN	120009	CLEVELAND CLINIC MARTIN SOUTH HOSPITAL	64	29	31.18%	93
MARTIN	23960112	ENCOMPASS HEALTH REHAB HOSPITAL AN AFFILIATE OF MARTIN HEALTH	58	22	27.50%	80
MARTIN	23960125	CORAL SHORES BEHAVIORAL HEALTH	20	60	75.00%	80
MIAMI-DADE	100008	BAPTIST HOSPITAL OF MIAMI	666	101	13.17%	767
MIAMI-DADE	100009	UNIVERSITY OF MIAMI HOSPITAL AND CLINICS-UHEALTH TOWER	350	166	32.17%	516
MIAMI-DADE	100020	DOCTORS HOSPITAL	122	12	8.96%	134
MIAMI-DADE	100022	JACKSON MEMORIAL HOSPITAL	1,313	383	22.58%	1,696
MIAMI-DADE	100029	NORTH SHORE MEDICAL CENTER	165	91	35.55%	256
MIAMI-DADE	100034	MOUNT SINAI MEDICAL CENTER	395	149	27.39%	544
MIAMI-DADE	100050	LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS	92	80	46.51%	172
MIAMI-DADE	100053	HIALEAH HOSPITAL	184	73	28.40%	257
MIAMI-DADE	100061	MERCY HOSPITAL, A CAMPUS OF PLANTATION GENERAL HOSPITAL	270	166	38.07%	436
MIAMI-DADE	100076	VARIETY CHILDREN'S HOSPITAL	0	0		0
