County	FileNumber	ProviderName	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	Total	Total	4,827	1,273	20.87%	6,100	375	235	38.52%	610
ALACHUA	100113	UF HEALTH SHANDS HOSPITAL	245	15	5.77%	260	35	12	25.53%	47
ALACHUA	100204	NORTH FLORIDA REGIONAL MEDICAL CENTER	42	6	12.50%	48	0	0		0
ALACHUA	110025	UF HEALTH REHAB HOSPITAL	0	0		0	0	0		0
ALACHUA	120011	UF HEALTH SHANDS PSYCHIATRIC HOSPITAL	0	0		0	0	0		0
ALACHUA	23960071	SELECT SPECIALTY HOSPITAL GAINESVILLE	0	0		0	0	0		0
BAKER	100134	ED FRASER MEMORIAL HOSPITAL	0	0		0	0	0		0
BAKER	104007	NORTHEAST FLORIDA STATE HOSPITAL	0	0		0	0	0		0
BAY	100026	ASCENSION SACRED HEART BAY	32	2	5.88%	34	0	0		0
BAY	100242	GULF COAST REGIONAL MEDICAL CENTER	19	1	5.00%	20	2	2	50.00%	4
BAY	110034	EMERALD COAST BEHAVIORAL HOSPITAL	0	0		0	0	0		0
BAY	23960013	ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY	0	0		0	0	0		0
BAY	23960045	SELECT SPECIALTY HOSPITAL - PANAMA CITY	0	0		0	0	0		0
BRADFORD	100103	NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS	0	0		0	0	0		0
BREVARD	100019	HOLMES REGIONAL MEDICAL CENTER	53	15	22.06%	68	0	0		0
BREVARD	100028	PARRISH MEDICAL CENTER	7	5	41.67%	12	0	0		0
BREVARD	100092	ROCKLEDGE REGIONAL MEDICAL CENTER	21	9	30.00%	30	0	0		0
BREVARD	100177	CAPE CANAVERAL HOSPITAL	10	2	16.67%	12	0	0		0
BREVARD	104024	CIRCLES OF CARE, INC	0	0		0	0	0		0
BREVARD	110027	SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH	0	0		0	0	0		0
BREVARD	110036	DEVEREUX FLORIDA	0	0		0	0	0		0
BREVARD	120007	PALM BAY HOSPITAL	7	5	41.67%	12	0	0		0
BREVARD	23960034	MELBOURNE REGIONAL MEDICAL CENTER	5	7	58.33%	12	0	0		0
BREVARD	23960090	KINDRED HOSPITAL MELBOURNE	6	2	25.00%	8	0	0		0
BREVARD	23960092	VIERA HOSPITAL	19	1	5.00%	20	0	0		0
BREVARD	23960153	PALM POINT BEHAVIORAL HEALTH	0	0		0	0	0		0
