County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	42,529	17,070	28.64%	59,599
ALACHUA	1,306	352	21.23%	1,658
BAKER	531	94	15.04%	625
BAY	401	134	25.05%	535
BREVARD	1,100	462	29.58%	1,562
BROWARD	4,025	1,556	27.88%	5,581
CALHOUN	5	5	50.00%	10
CHARLOTTE	438	284	39.34%	722
CITRUS	198	110	35.71%	308
CLAY	391	99	20.20%	490
COLLIER	681	151	18.15%	832
COLUMBIA	127	16	11.19%	143
DESOTO	27	28	50.91%	55
DUVAL	2,436	1,447	37.27%	3,883
ESCAMBIA	909	436	32.42%	1,345
FLAGLER	96	16	14.29%	112
FRANKLIN	1	14	93.33%	15
GADSDEN	0	0		0
GULF	4	17	80.95%	21
HARDEE	17	8	32.00%	25
HENDRY	10	20	66.67%	30
HERNANDO	472	241	33.80%	713
HIGHLANDS	193	101	34.35%	294
HILLSBOROUGH	3,060	1,030	25.18%	4,090
HOLMES	8	12	60.00%	20
INDIAN RIVER	269	164	37.88%	433
JACKSON	30	51	62.96%	81
LAKE	618	196	24.08%	814
LEE	1,327	698	34.47%	2,025
LEON	601	224	27.15%	825
MADISON	11	5	31.25%	16
MANATEE	634	274	30.18%	908
MARION	761	337	30.69%	1,098
MARTIN	228	262	53.47%	490
MIAMI-DADE	6,084	2,162	26.22%	8,246
MONROE	81	36	30.77%	117
NASSAU	29	57	66.28%	86
OKALOOSA	341	120	26.03%	461
OKEECHOBEE	44	56	56.00%	100
ORANGE	3,029	511	14.44%	3,540
OSCEOLA	785	228	22.51%	1,013
PALM BEACH	2,796	1,281	31.42%	4,077
PASCO	1,066	433	28.89%	1,499
PINELLAS	2,341	1,016	30.27%	3,357
POLK	1,165	400	25.56%	1,565
PUTNAM	49	35	41.67%	84
SANTA ROSA	105	210	66.67%	315
SARASOTA	944	330	25.90%	1,274
SEMINOLE	599	235	28.18%	834
ST. JOHNS	138	188	57.67%	326
ST. LUCIE	678	195	22.34%	873
SUMTER	203	144	41.50%	347
SUWANNEE	0	0		0
TAYLOR	4	12	75.00%	16
UNION	75	50	40.00%	125
VOLUSIA	973	436	30.94%	1,409
WALTON	44	73	62.39%	117
WASHINGTON	41	18	30.51%	59
