County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,174	15,282	24.87%	61,456
ALACHUA	1,478	255	14.71%	1,733
BAKER	519	106	16.96%	625
BAY	428	121	22.04%	549
BRADFORD	5	5	50.00%	10
BREVARD	1,166	464	28.47%	1,630
BROWARD	4,306	1,153	21.12%	5,459
CALHOUN	7	3	30.00%	10
CHARLOTTE	429	191	30.81%	620
CITRUS	215	82	27.61%	297
CLAY	479	83	14.77%	562
COLLIER	720	134	15.69%	854
COLUMBIA	99	0	0.00%	99
DESOTO	42	17	28.81%	59
DUVAL	2,734	1,030	27.36%	3,764
ESCAMBIA	1,044	412	28.30%	1,456
FLAGLER	91	8	8.08%	99
FRANKLIN	1	14	93.33%	15
GADSDEN	550	403	42.29%	953
GULF	2	19	90.48%	21
HARDEE	25	0	0.00%	25
HENDRY	11	14	56.00%	25
HERNANDO	508	218	30.03%	726
HIGHLANDS	225	32	12.45%	257
HILLSBOROUGH	3,297	819	19.90%	4,116
HOLMES	15	5	25.00%	20
INDIAN RIVER	316	141	30.85%	457
JACKSON	56	39	41.05%	95
LAKE	675	237	25.99%	912
LEE	1,531	268	14.90%	1,799
LEON	694	154	18.16%	848
MADISON	5	10	66.67%	15
MANATEE	660	118	15.17%	778
MARION	824	109	11.68%	933
MARTIN	278	155	35.80%	433
MIAMI-DADE	6,359	2,276	26.36%	8,635
MONROE	58	111	65.68%	169
NASSAU	34	34	50.00%	68
OKALOOSA	341	111	24.56%	452
OKEECHOBEE	51	49	49.00%	100
ORANGE	3,297	1,140	25.69%	4,437
OSCEOLA	829	310	27.22%	1,139
PALM BEACH	2,849	1,101	27.87%	3,950
PASCO	1,136	336	22.83%	1,472
PINELLAS	2,212	1,046	32.11%	3,258
POLK	1,295	406	23.87%	1,701
PUTNAM	59	25	29.76%	84
SANTA ROSA	135	211	60.98%	346
SARASOTA	988	51	4.91%	1,039
SEMINOLE	723	225	23.73%	948
ST. JOHNS	171	161	48.49%	332
ST. LUCIE	691	162	18.99%	853
SUMTER	251	96	27.67%	347
SUWANNEE	0	0		0
TAYLOR	4	8	66.67%	12
UNION	43	32	42.67%	75
VOLUSIA	1,104	507	31.47%	1,611
WALTON	65	50	43.48%	115
WASHINGTON	44	15	25.42%	59
