County	Adult ICU Census	Available Adult ICU	Available Adult ICU 1	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 1	Total PediatricICU Capacity
Grand Total	4,669	1,412	23.22%	6,081	394	217	35.52%	611
ALACHUA	270	38	12.34%	308	35	12	25.53%	47
BAKER	0	0		0	0	0		0
BAY	54	8	12.90%	62	2	2	50.00%	4
BREVARD	117	46	28.22%	163	0	0		0
BROWARD	393	90	18.63%	483	34	29	46.03%	63
CALHOUN	0	0		0	0	0		0
CHARLOTTE	43	12	21.82%	55	0	0		0
CITRUS	29	11	27.50%	40	0	0		0
CLAY	35	6	14.63%	41	0	6	100.00%	6
COLLIER	51	29	36.25%	80	0	0		0
COLUMBIA	12	2	14.29%	14	0	0		0
DESOTO	6	2	25.00%	8	0	0		0
DUVAL	326	112	25.57%	438	27	13	32.50%	40
ESCAMBIA	100	18	15.25%	118	2	14	87.50%	16
FLAGLER	9	9	50.00%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	50	19	27.54%	69	0	0		0
HIGHLANDS	21	14	40.00%	35	0	0		0
HILLSBOROUGH	351	81	18.75%	432	21	22	51.16%	43
HOLMES	0	0		0	0	0		0
INDIAN RIVER	17	14	45.16%	31	0	0		0
JACKSON	3	3	50.00%	6	0	0		0
LAKE	63	19	23.17%	82	0	0		0
LEE	102	26	20.31%	128	55	29	34.52%	84
LEON	52	20	27.78%	72	3	6	66.67%	9
MADISON	0	0		0	0	0		0
MANATEE	64	33	34.02%	97	0	0		0
MARION	83	26	23.85%	109	0	0		0
MARTIN	12	23	65.71%	35	0	0		0
MIAMI-DADE	717	270	27.36%	987	70	9	11.39%	79
MONROE	3	11	78.57%	14	0	0		0
NASSAU	5	3	37.50%	8	0	0		0
OKALOOSA	46	8	14.81%	54	0	0		0
OKEECHOBEE	7	1	12.50%	8	0	0		0
ORANGE	260	61	19.00%	321	86	41	32.28%	127
OSCEOLA	78	20	20.41%	98	1	5	83.33%	6
PALM BEACH	300	106	26.11%	406	13	19	59.38%	32
PASCO	127	8	5.93%	135	0	0		0
PINELLAS	265	58	17.96%	323	42	2	4.55%	44
POLK	139	32	18.71%	171	0	0		0
PUTNAM	9	1	10.00%	10	0	0		0
SANTA ROSA	10	11	52.38%	21	0	0		0
SARASOTA	69	47	40.52%	116	0	0		0
SEMINOLE	54	18	25.00%	72	0	0		0
ST. JOHNS	25	19	43.18%	44	0	0		0
ST. LUCIE	82	8	8.89%	90	3	3	50.00%	6
SUMTER	33	7	17.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	168	48	22.22%	216	0	5	100.00%	5
WALTON	9	14	60.87%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
