County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,592	1,518	24.84%	6,110	432	231	34.84%	663
ALACHUA	245	63	20.45%	308	41	6	12.77%	47
BAKER	0	0		0	0	0		0
BAY	57	7	10.94%	64	1	3	75.00%	4
BRADFORD	0	0		0	0	0		0
BREVARD	139	38	21.47%	177	0	0		0
BROWARD	373	90	19.44%	463	54	23	29.87%	77
CALHOUN	0	0		0	0	0		0
CHARLOTTE	40	14	25.93%	54	0	0		0
CITRUS	34	6	15.00%	40	0	0		0
CLAY	41	11	21.15%	52	2	2	50.00%	4
COLLIER	64	21	24.71%	85	0	0		0
COLUMBIA	11	0	0.00%	11	0	0		0
DESOTO	3	5	62.50%	8	0	0		0
DUVAL	298	132	30.70%	430	24	5	17.24%	29
ESCAMBIA	81	70	46.36%	151	8	8	50.00%	16
FLAGLER	13	5	27.78%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	3	100.00%	3	0	0		0
HERNANDO	44	21	32.31%	65	0	0		0
HIGHLANDS	21	5	19.23%	26	0	0		0
HILLSBOROUGH	306	92	23.12%	398	26	16	38.10%	42
HOLMES	0	0		0	0	0		0
INDIAN RIVER	20	10	33.33%	30	0	0		0
JACKSON	5	2	28.57%	7	0	0		0
LAKE	72	32	30.77%	104	0	0		0
LEE	132	13	8.97%	145	67	19	22.09%	86
LEON	61	11	15.28%	72	3	6	66.67%	9
MADISON	0	0		0	0	0		0
MANATEE	54	13	19.40%	67	0	0		0
MARION	78	15	16.13%	93	0	0		0
MARTIN	14	9	39.13%	23	0	0		0
MIAMI-DADE	732	205	21.88%	937	67	55	45.08%	122
MONROE	5	8	61.54%	13	0	0		0
NASSAU	6	2	25.00%	8	0	0		0
OKALOOSA	57	0	0.00%	57	0	0		0
OKEECHOBEE	7	1	12.50%	8	0	0		0
ORANGE	276	123	30.83%	399	73	53	42.06%	126
OSCEOLA	88	35	28.46%	123	0	0		0
PALM BEACH	252	134	34.72%	386	16	23	58.97%	39
PASCO	122	16	11.59%	138	0	0		0
PINELLAS	235	105	30.88%	340	32	5	13.51%	37
POLK	145	38	20.77%	183	13	1	7.14%	14
PUTNAM	9	1	10.00%	10	0	0		0
SANTA ROSA	11	6	35.29%	17	0	0		0
SARASOTA	73	37	33.64%	110	0	0		0
SEMINOLE	57	16	21.92%	73	0	0		0
ST. JOHNS	22	22	50.00%	44	0	0		0
ST. LUCIE	75	15	16.67%	90	3	3	50.00%	6
SUMTER	34	6	15.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	5	100.00%	5	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	172	41	19.25%	213	2	3	60.00%	5
WALTON	8	14	63.64%	22	0	0		0
WASHINGTON	0	0		0	0	0		0
