FID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,675,11,12,73,84,91,98,107,94,69,36,0,0 to 118,52,410,254,11,675,0,0,8,641,2,40,1,22,653,0,0,675,21,1,0,0,10,12,0,22,0,0,5,3,3,4,5,1,1,0,0,17 to 79,44,16,1,2,3,2,18,2,1,0,0,0,0,0,22,12,10,22,0,0,1208,0,1231,1208,22,0,43,26,50,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,3411,69,110,313,488,421,540,578,424,297,160,11,0 to 118,50,2156,1213,42,3403,8,0,77,3118,133,259,21,183,3224,2,2,3399,114,69,0,0,114,69,0,183,1,18,20,25,28,29,19,20,16,7,0,3 to 98,43,100,75,8,0,7,174,2,39,0,22,0,0,6,183,69,114,183,0,0,4330,8,4523,4338,183,6,162,93,42,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,870,33,19,77,128,110,111,156,138,71,23,4,0 to 118,50,483,356,31,862,8,0,16,759,3,128,19,52,813,1,4,857,41,10,1,0,18,33,0,51,0,1,12,16,9,2,6,2,4,0,0,6 to 84,32,33,2,14,2,17,32,2,9,0,5,0,0,0,52,33,19,51,1,0,1108,7,1169,1115,52,0,141,40,47,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,6897,162,140,516,992,979,906,1059,807,728,569,39,0 to 119,52,4210,2645,42,6756,140,1,127,6403,137,297,67,312,6585,0,0,6757,210,94,4,4,167,137,0,304,6,15,22,52,49,44,51,34,25,14,0,0 to 96,46,237,37,19,11,83,210,11,75,2,44,1,0,6,312,142,170,303,8,1,9270,132,9721,9402,312,6,676,273,58,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,530,5,4,40,47,78,74,90,83,72,36,1,0 to 99,56,317,195,18,530,0,0,4,440,4,54,3,65,465,0,0,530,48,17,0,0,50,15,0,65,0,0,5,4,4,2,2,7,21,20,0,20 to 99,79,46,11,0,8,0,52,13,12,0,6,0,0,5,65,15,50,65,0,0,617,0,684,617,65,5,94,33,52,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,67233,985,1434,4619,7924,7926,9471,11600,10471,7361,3846,1596,0 to 119,55,37020,29935,278,66475,756,2,2008,61513,465,6324,335,8209,58686,198,140,66142,7955,139,109,6,4035,4052,7,8094,111,260,912,1344,1266,1276,1131,779,653,473,4,0 to 104,46,3643,1556,1329,1566,2788,3635,1671,1870,31,1380,22,13,416,8209,4118,4084,8092,115,2,91841,638,100927,92479,8209,416,1791,1526,55,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,9858,163,191,635,1161,1212,1508,1761,1633,1059,505,30,0 to 119,55,5670,3977,211,9711,147,0,395,8706,188,1067,73,793,8964,5,96,9610,711,71,11,0,419,361,2,782,12,22,71,125,115,134,118,86,62,48,0,0 to 97,49,315,172,73,222,120,396,266,183,1,127,2,0,33,793,366,425,782,11,0,15109,136,16044,15245,793,33,171,156,58,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,13403,260,316,929,1565,1803,2122,2394,2132,1296,558,28,0 to 119,53,7855,5506,42,13328,75,0,183,12731,223,575,104,484,12898,2,19,13307,426,47,10,1,258,215,0,473,9,15,51,62,92,88,63,67,20,17,0,0 to 94,47,303,64,63,43,103,313,57,115,4,89,3,1,15,484,221,263,473,11,0,21669,64,22227,21733,484,15,852,301,48,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,2893,49,91,207,484,495,506,457,383,139,80,2,0 to 119,47,2015,865,13,2875,17,1,31,2656,46,299,15,302,2590,1,0,2875,289,9,4,0,220,78,0,298,3,6,18,65,69,60,31,27,13,10,0,0 to 98,43,117,129,15,37,30,218,50,55,0,51,0,0,4,302,78,224,297,4,1,4528,13,4850,4541,302,4,361,167,45,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,12793,187,295,1471,2099,1893,1972,2107,1723,674,341,31,0 to 119,47,6634,6026,133,12561,231,1,158,12080,201,502,87,464,12313,3,13,12546,424,10,29,1,235,199,0,434,2,13,127,89,62,59,68,31,10,3,0,0 to 87,35,151,247,11,25,22,379,33,83,11,44,9,6,8,464,215,249,433,30,1,19282,201,19952,19483,464,8,666,250,43,2.4286163266357628,0.1707040441862682
