OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,753,14,16,82,102,106,113,117,98,69,36,0,0 to 118,50,426,314,13,753,0,0,9,680,2,94,2,86,667,0,0,753,70,16,0,0,21,64,1,86,3,4,12,17,17,15,14,3,1,0,0,0 to 79,38,57,10,12,7,24,56,6,3,0,0,0,0,0,86,64,21,86,0,0,2036,0,2123,2036,86,0,119,102,39,NA,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,3474,72,118,327,496,431,543,590,427,298,161,11,0 to 118,50,2181,1252,41,3466,8,0,87,3146,133,315,22,238,3233,1,2,3463,142,96,0,0,138,100,0,238,4,25,35,32,34,33,29,22,17,7,0,2 to 98,40,117,110,10,1,11,222,5,45,0,28,0,0,6,238,100,138,238,0,0,5073,8,5320,5081,238,6,185,116,40,NA,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,891,33,19,77,133,114,112,161,142,73,23,4,0 to 118,50,490,370,31,883,8,0,16,763,3,142,28,68,822,1,0,882,56,11,1,0,21,46,0,67,0,1,12,23,13,2,8,3,6,0,0,6 to 84,32,44,4,17,2,26,39,2,17,0,6,0,0,0,68,46,22,67,1,0,1262,7,1339,1269,68,0,155,53,32,NA,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,7047,162,150,547,1030,1001,921,1079,814,732,571,40,0 to 119,51,4278,2728,41,6904,142,1,154,6424,137,396,75,421,6626,0,0,6905,303,108,5,5,209,202,0,411,6,19,43,86,68,57,62,39,26,15,0,0 to 96,43,327,45,34,5,126,277,8,92,2,55,1,0,6,421,209,212,410,10,1,10771,132,11332,10903,421,6,926,495,43,NA,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,536,5,4,43,49,79,75,90,83,71,36,1,0 to 99,56,319,199,18,536,0,0,4,442,4,55,3,69,467,0,0,536,53,16,0,0,52,17,0,69,0,0,6,6,5,2,3,7,20,20,0,20 to 99,78,51,10,0,8,1,55,13,11,0,6,0,0,6,69,17,52,69,0,0,674,0,745,674,69,6,111,49,78,NA,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,70278,1038,1574,5137,8485,8443,9899,11976,10682,7500,3934,1610,0 to 119,54,38544,31440,294,69509,767,2,2355,63149,465,7804,353,10943,58991,194,150,69170,10672,145,120,6,5390,5398,29,10817,154,380,1392,1888,1746,1660,1450,946,761,551,15,0 to 104,44,4509,1892,1775,2641,3721,4348,2748,2111,34,1561,22,13,468,10943,5471,5443,10815,126,2,112165,638,123985,112803,10943,468,3079,2814,44,NA,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,10398,179,213,704,1263,1283,1589,1814,1694,1088,539,32,0 to 119,54,5973,4214,211,10251,147,0,424,9010,188,1241,74,1226,9086,5,81,10165,1140,75,11,0,644,569,2,1215,26,39,137,218,180,208,169,123,74,52,0,0 to 97,45,415,210,99,491,188,475,552,214,1,152,2,0,41,1226,574,650,1215,11,0,18213,136,19581,18349,1226,41,452,437,46,NA,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,13982,272,333,1055,1665,1880,2214,2471,2172,1322,570,28,0 to 119,53,8169,5770,43,13906,76,0,266,12955,223,859,112,872,13085,2,23,13881,807,54,10,1,457,404,0,861,17,24,136,145,141,145,112,95,37,20,0,0 to 94,42,534,99,108,120,185,534,142,164,4,109,3,1,17,872,410,462,861,11,0,27313,65,28262,27378,872,17,1460,908,43,NA,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,2931,49,94,211,491,500,515,465,383,140,81,2,0 to 119,47,2034,885,12,2912,18,1,36,2663,46,327,16,326,2603,1,1,2911,312,9,5,0,231,90,0,321,3,9,20,68,74,64,37,27,14,10,0,0 to 98,43,130,135,15,41,39,227,55,64,1,57,0,0,6,326,90,236,320,5,1,5083,13,5428,5096,326,6,404,210,43,NA,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,12996,191,308,1579,2126,1907,1987,2114,1735,676,342,31,0 to 119,46,6741,6124,131,12761,234,1,188,12144,201,612,90,587,12378,3,28,12731,545,10,31,1,294,261,0,555,4,21,205,102,68,68,67,37,11,4,0,0 to 91,29,183,275,17,80,32,427,96,92,11,44,9,7,8,587,277,310,554,32,1,22611,202,23405,22813,587,8,809,390,30,NA,2.4286163266357628,0.1707040441862682
11,11,33,065,JEFFERSON,Jefferson,FL,568,12,13,22,44,76,80,117,121,65,17,1,0 to 101,58,339,224,5,563,5,0,7,488,41,78,7,36,532,0,0,563,13,21,2,0,20,14,0,34,1,1,2,3,3,4,7,7,4,4,0,1 to 95,58,10,17,7,0,5,28,1,7,2,9,0,0,4,36,16,20,34,2,0,971,3,1011,974,36,4,68,30,58,NA,2.2049309352502724,0.14849665622997743
12,12,40,079,MADISON,Madison,FL,1109,47,40,94,127,142,151,166,179,107,49,7,0 to 99,51,708,395,6,1086,23,0,26,912,53,273,15,142,965,1,1,1084,88,50,4,0,85,53,0,138,5,5,15,15,23,19,32,12,5,11,0,0 to 98,48,33,88,10,7,8,106,24,27,0,4,0,1,3,142,54,88,138,4,0,1577,19,1740,1596,142,3,267,165,50,NA,2.169691637311982,0.1740263300452793
13,13,39,077,LIBERTY,Liberty,FL,2215,3,4,157,690,561,398,268,93,28,5,8,0 to 92,38,168,2038,9,2215,0,0,1,2000,1,84,0,221,1994,0,0,2215,218,3,0,0,5,216,0,221,0,0,13,58,55,54,36,5,0,0,0,20 to 73,41,115,98,5,3,7,133,81,5,0,1,0,0,1,221,216,5,221,0,0,2080,0,2303,2080,221,1,39,14,41,NA,3.020973914923982,0.20464132709324395
14,14,24,047,HAMILTON,Hamilton,FL,1992,15,24,160,537,414,320,239,168,69,42,4,0 to 118,41,445,1520,27,1986,6,0,32,1877,9,294,5,302,1689,0,1,1985,291,8,2,1,50,249,0,299,4,7,30,86,64,55,42,11,3,0,0,0 to 84,38,133,129,28,9,48,99,152,26,1,8,0,0,2,302,251,51,299,3,0,2211,3,2517,2214,302,2,16,14,39,NA,2.301523665227496,0.12636783551306294
15,15,3,005,BAY,Bay,FL,3279,37,32,218,406,438,548,625,443,291,186,55,0 to 119,53,1830,1396,53,3243,36,0,81,3080,28,222,51,205,3042,0,32,3217,160,35,9,1,90,105,0,195,3,2,25,44,31,44,26,14,15,1,0,2 to 93,44,157,18,12,8,62,120,13,60,3,25,2,1,4,205,109,96,195,10,0,6233,20,6463,6253,205,4,68,60,44,NA,5.422685209627352,0.1810274207185009
16,16,12,023,COLUMBIA,Columbia,FL,3445,88,104,239,416,427,449,673,551,288,201,9,0 to 119,54,1944,1401,100,3429,16,0,207,3069,63,320,16,232,3210,0,3,3426,195,34,3,0,114,115,0,229,7,14,24,51,33,37,37,17,7,5,0,0 to 97,41,107,92,23,7,28,189,12,8,0,18,0,0,3,232,118,114,229,3,0,5036,13,5286,5049,232,3,27,25,40,NA,2.6336786210355756,0.19383765365800731
17,17,2,003,BAKER,Baker,FL,898,30,16,98,132,123,148,148,103,66,32,2,0 to 99,48,497,349,52,836,62,0,24,843,16,74,3,44,854,0,0,836,20,22,2,0,23,19,0,42,0,2,6,4,6,6,6,6,5,3,0,10 to 97,50,29,10,2,1,1,39,2,10,0,12,0,0,4,44,20,24,42,2,0,1430,60,1534,1490,44,4,33,32,48,NA,1.7712451943566485,0.14260223696131116
18,18,30,059,HOLMES,Holmes,FL,806,12,13,58,97,100,137,152,152,63,21,1,0 to 119,54,441,350,15,796,10,0,5,753,5,66,5,58,748,0,0,796,41,16,0,1,17,40,0,57,1,0,2,12,16,16,5,5,1,0,0,1 to 79,42,42,9,1,5,5,45,7,7,0,4,0,0,0,58,40,18,57,1,0,1185,9,1253,1194,58,0,59,53,43,NA,1.7364459249798063,0.117992933758262
19,19,43,085,MARTIN,Martin,FL,7646,153,178,571,784,892,990,1360,1357,950,388,23,0 to 100,56,3755,3430,461,7552,94,0,334,6524,82,1144,75,1582,6044,1,19,7533,1555,13,14,0,709,851,8,1568,59,83,250,282,295,268,166,78,59,39,3,0 to 99,38,526,63,541,438,866,348,354,240,2,145,1,1,20,1582,860,714,1568,14,0,13002,78,14671,13080,1582,20,111,100,38,NA,2.9786699421185125,0.15345842849064345
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,55535,1271,1541,4895,8557,8042,8563,9308,7411,3984,1830,133,0 to 119,49,31789,23486,260,55120,415,0,760,52712,458,2558,312,5973,49466,23,73,55025,5720,184,66,3,3158,2737,9,5904,109,211,1006,1413,922,802,637,411,259,178,25,0 to 104,37,1916,1039,932,2017,1303,2263,2338,835,11,574,8,3,115,5973,2768,3196,5904,69,0,93832,345,100227,94177,5973,115,1742,1395,37,NA,3.452361349671768,0.2518380530212434
21,21,41,081,MANATEE,Manatee,FL,16149,277,352,972,1550,1695,2107,3007,3292,2043,751,103,0 to 119,58,9182,6658,309,15898,251,0,779,14563,177,1569,46,1977,14168,4,0,15894,1903,59,15,0,1035,919,8,1962,42,87,230,322,311,289,259,185,158,94,0,0 to 101,44,1154,237,179,392,630,885,447,178,2,249,2,2,126,1977,926,1043,1962,15,0,30365,236,32592,30601,1977,126,329,231,45,NA,3.591796951963094,0.17764804033812803
22,22,10,019,CLAY,Clay,FL,8309,121,203,636,966,1151,1354,1482,1308,761,306,21,0 to 101,53,4806,3395,108,8288,21,0,125,7790,130,533,49,519,7789,1,0,8287,449,67,3,0,307,209,0,516,1,7,50,66,67,75,83,82,55,33,0,4 to 100,54,277,98,49,92,46,365,105,135,0,97,0,0,32,519,210,309,516,3,0,14276,18,14817,14294,519,32,315,282,55,NA,1.7757499535538475,0.15589240376785884
23,23,25,049,HARDEE,Hardee,FL,1058,30,64,143,191,137,132,146,125,64,26,0,0 to 94,42,585,456,17,1051,7,0,47,644,2,331,6,305,753,0,0,1051,285,15,5,0,145,155,0,300,9,25,49,66,48,38,28,26,11,5,0,0 to 88,35,193,52,28,27,182,90,28,47,3,31,3,1,1,305,158,147,300,5,0,1608,2,1916,1610,305,1,486,387,35,NA,1.6007568790090916,0.15097302168698645
24,24,42,083,MARION,Marion,FL,14684,163,207,925,1650,1678,2128,2535,2778,1842,752,26,0 to 168,57,9014,5615,55,14657,27,0,4289,9864,177,3267,145,412,13817,0,455,14203,384,23,4,1,228,179,0,407,7,10,50,68,66,65,70,41,27,8,0,0 to 97,46,293,83,20,11,72,323,12,82,3,53,0,0,10,412,180,232,407,5,0,20141,21,20581,20162,412,10,528,363,45,NA,3.4027287982358554,0.3994264389187175
