OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,847,21,24,98,108,120,128,125,109,78,36,0,0 to 118,49,0,470,369,8,847,0,0,21,2,132,655,847,156,691,0,0,847,134,22,0,0,0,52,104,5,6,23,24,25,26,22,14,11,0,0,0 to 83,43,106,16,15,19,29,103,24,9,0,1,0,0,0,156,104,52,156,0,0,2573,0,2734,2573,156,0,256,239,NA,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,4018,90,173,436,605,513,606,647,458,313,164,13,0 to 118,48,10,2426,1528,54,4010,8,0,126,133,327,3318,4015,835,3179,1,3,4006,473,362,0,0,9,410,397,20,80,151,151,125,106,93,57,35,15,2,0 to 100,36,403,239,93,100,156,559,120,122,0,64,0,0,7,835,397,410,835,0,0,8264,8,9113,8272,835,7,237,168,NA,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,1013,33,24,105,154,143,132,173,146,75,24,4,0 to 118,47,0,566,416,31,1005,8,0,24,3,211,723,1012,149,862,1,1,1003,121,26,2,0,0,74,72,0,5,32,39,27,16,17,5,8,0,0,6 to 84,34,77,39,20,11,26,107,14,30,0,10,0,0,1,149,72,76,147,2,0,1648,6,1806,1654,149,1,384,283,NA,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,8104,225,183,764,1263,1157,1052,1176,896,758,586,44,0 to 119,49,38,4805,3199,62,7952,151,1,257,137,934,7209,8075,1446,6629,0,29,7924,1291,134,15,5,36,758,625,19,44,261,312,218,179,162,118,77,51,4,0 to 103,38,771,122,99,433,239,664,522,141,3,80,1,0,10,1445,635,768,1424,20,1,17238,131,18836,17369,1445,10,1541,1110,NA,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,667,8,9,56,70,95,97,120,96,76,40,0,0 to 99,54,0,399,255,13,667,0,0,17,4,186,507,666,172,494,0,1,666,156,16,0,0,0,110,62,1,3,19,21,16,20,25,20,25,22,0,1 to 99,56,132,18,8,14,10,139,23,28,0,20,0,0,7,172,62,110,172,0,0,1140,0,1318,1140,172,7,323,261,NA,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,82416,1341,2083,7098,10893,10436,11693,13465,11503,7969,4306,1629,0 to 119,52,52,44727,37384,253,81560,854,2,4122,465,8193,68433,82225,22280,59764,181,191,81193,21881,185,207,6,46,11105,10900,382,812,3229,4225,3659,3314,2825,1674,1184,944,31,0 to 105,41,8250,3508,3104,7204,6440,8017,7609,2885,42,2088,27,14,624,22279,11012,11203,22064,213,2,167023,636,190276,167659,22279,624,6559,6294,NA,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,12910,234,316,1038,1681,1710,2021,2154,1885,1204,628,39,0 to 119,52,69,7459,5185,197,12761,149,0,752,188,1825,10363,12725,3134,9584,7,185,12569,3013,105,16,0,24,1691,1394,55,121,434,561,516,522,399,271,148,99,8,0 to 104,42,1019,537,300,1262,603,1065,1450,314,1,246,2,1,64,3134,1403,1698,3118,16,0,26610,130,29912,26740,3134,64,2053,2038,NA,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,17590,346,454,1685,2362,2457,2794,2902,2471,1471,618,30,0 to 119,50,31,9962,7530,67,17502,88,0,768,223,2202,14746,17547,4189,13356,2,43,17457,4082,84,22,1,31,2078,2043,70,121,711,805,682,662,503,364,186,84,1,0 to 99,40,2254,260,384,1268,673,1984,1509,471,8,287,4,1,34,4189,2054,2090,4166,23,0,44069,65,48358,44134,4189,34,3153,2601,NA,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,3239,61,122,270,540,551,560,492,402,155,83,3,0 to 119,46,2,2198,1028,11,3220,18,1,59,46,371,2716,3238,624,2613,1,1,3219,605,14,5,0,2,397,220,10,35,75,117,129,107,65,46,27,12,1,0 to 98,40,199,257,30,133,90,363,166,115,0,76,0,0,8,624,220,402,618,5,1,6564,13,7216,6577,624,8,555,360,NA,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,14939,213,389,2399,2514,2122,2141,2276,1793,701,349,42,0 to 119,43,26,7763,7030,120,14682,256,1,308,201,1013,13698,14928,2520,12406,2,11,14670,2440,26,51,3,26,1289,1149,20,96,1042,497,279,216,216,101,33,10,10,0 to 105,25,678,701,94,993,149,1049,1268,149,12,67,10,7,10,2520,1177,1315,2465,54,1,37709,198,40509,37907,2520,10,1153,735,NA,2.4286163266357628,0.1707040441862682
