OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,MedianAge,GlobalID
1,1,21,041,GILCHRIST,Gilchrist,FL,1090,26,37,133,145,139,149,161,125,99,76,0,0 to 118,49,625,459,6,1090,0,0,44,743,2,404,10,345,742,0,3,1087,317,28,0,0,184,161,0,345,8,13,52,54,36,40,48,25,30,39,0,0 to 106,47,277,24,20,24,50,265,30,27,0,20,0,0,3,345,161,184,345,0,0,3204,0,3556,3204,345,3,511,494,920490830.042053,148547.348006441,46,cb6285a2-da2e-4583-aad5-1221776836ae
2,2,54,107,PUTNAM,Putnam,FL,4580,105,229,535,679,598,686,719,495,338,181,15,0 to 118,47,2742,1785,53,4571,9,0,403,3678,133,1128,24,1465,3113,0,2,4569,892,572,1,0,763,679,22,1464,36,134,261,228,218,200,172,100,72,40,4,0 to 100,37,699,401,187,177,287,955,222,277,1,163,0,0,25,1465,680,763,1464,1,0,11143,8,12625,11151,1465,25,276,208,2142439482.67719,232574.925675008,37,ce511c5d-2638-44a3-b2f8-b13847543637
3,3,62,123,TAYLOR,Taylor,FL,1934,42,54,189,391,355,310,270,196,90,33,4,0 to 118,43,782,1129,23,1925,9,0,61,1403,3,678,29,936,991,0,7,1918,887,46,3,0,215,718,0,933,2,16,90,248,224,178,104,47,19,8,0,4 to 91,40,387,327,51,168,88,638,207,68,0,21,0,0,4,936,718,218,933,3,0,4158,6,5127,4164,936,4,770,670,2685252568.13834,267348.178950349,40,541bd5a3-4453-499a-9896-f0edc5353d0b
4,4,46,091,OKALOOSA,Okaloosa,FL,10260,228,301,1142,1682,1512,1370,1433,1065,840,643,44,0 to 119,46,5986,4159,115,10099,160,1,522,7487,137,1467,129,3391,6834,1,34,10065,3189,173,24,5,1802,1503,57,3362,35,117,584,698,547,462,409,270,156,109,4,0 to 103,39,1692,305,602,763,442,1998,922,272,3,153,1,0,38,3391,1515,1819,3361,29,1,25236,132,28804,25368,3391,38,2969,2538,2369222670.29688,330553.160278386,39,eb5d2450-a892-40fd-9ba4-9821a7438525
5,5,7,013,CALHOUN,Calhoun,FL,966,13,26,94,137,162,135,151,119,84,45,0,0 to 99,49,507,443,16,966,0,0,29,582,4,308,12,417,548,0,1,965,401,16,0,0,185,231,1,417,2,10,43,76,73,57,55,42,33,26,0,1 to 99,45,261,45,24,87,17,299,101,44,0,28,0,0,7,417,231,185,417,0,0,2865,0,3299,2865,417,7,509,448,1487626835.10838,192207.890331272,49,3b55aa95-5170-4caf-82a3-e99ad7459349
6,6,50,099,PALM BEACH,Palm Beach,FL,97658,1598,2773,9307,13657,12921,14161,15495,12701,8632,4760,1653,0 to 119,50,52815,44451,392,96668,988,2,7495,77059,465,24156,661,36114,61116,167,261,96245,35298,465,344,7,18364,17243,156,35763,607,1365,5270,6826,5944,5585,4623,2667,1769,1402,56,0 to 106,41,13430,5725,5931,10677,9959,13772,12032,3796,43,2756,28,15,919,36114,17418,18522,35761,351,2,236745,652,274111,237397,36114,919,9543,9278,5710098601.29486,464192.459734082,41,cc4a8da3-38f1-429a-a0cb-00ffdaa43da7
7,7,56,111,ST. LUCIE,St. Lucie,FL,15844,294,465,1429,2140,2154,2456,2565,2123,1360,804,54,0 to 119,50,9124,6445,275,15692,152,0,1205,11576,188,3910,142,5625,9945,5,269,15418,5487,117,21,0,3045,2492,67,5604,106,235,758,955,903,892,754,489,293,221,19,0 to 104,43,1797,1179,796,1832,1126,2167,2311,504,2,357,2,1,160,5625,2503,3055,5604,21,0,36305,133,42116,36438,5625,160,3674,3659,1499679486.67142,252832.323289834,43,399b37a3-aa4a-40d4-aa83-5a2ba14bd0c4
8,8,51,101,PASCO,Pasco,FL,20561,396,592,2061,2810,2926,3262,3319,2756,1654,725,60,0 to 119,49,11604,8859,98,20459,102,0,1372,15298,223,5442,239,6893,13565,2,101,20356,6717,139,36,1,3549,3270,37,6856,110,223,1041,1220,1093,1086,892,635,368,192,33,0 to 105,42,4292,476,968,1120,1375,3892,1589,824,9,534,4,1,122,6893,3288,3568,6856,37,0,59116,68,66124,59184,6893,122,4316,3765,1975344274.45807,225211.500752162,42,83116673-3fad-423e-b67e-dfe7515f5e81
9,9,20,039,GADSDEN,Gadsden,FL,4409,98,208,448,727,765,757,634,481,184,98,9,0 to 119,44,2744,1641,24,4387,21,1,241,3454,46,986,26,1781,2621,1,6,4381,1721,52,8,0,925,833,15,1773,41,108,247,303,338,316,206,129,59,27,7,0 to 105,40,427,613,235,498,297,764,712,230,0,114,0,0,21,1781,833,933,1772,8,1,10748,16,12583,10764,1781,21,803,608,1367889846.39806,205127.330650714,40,77657ea6-12d6-4645-9915-e7357c9f40d6
10,10,37,073,LEON,Leon,FL,17443,282,527,3062,2970,2486,2476,2566,1913,739,376,46,0 to 119,42,9093,8234,116,17137,305,1,1026,14219,201,3277,157,4814,12611,1,17,17120,4655,55,100,4,2473,2230,7,4710,65,199,1649,942,616,530,479,210,72,38,14,0 to 105,28,1400,1491,442,1377,336,2391,1983,347,14,129,11,7,24,4814,2283,2524,4709,104,1,53116,222,58266,53338,4814,24,2112,1696,1817477697.41779,246081.909627491,29,ff3d6d6c-1645-4c7e-bc93-049a674c4499
