OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,GlobalID,MedianAge
1,1,21,041,GILCHRIST,Gilchrist,FL,1113,29,40,138,148,141,154,162,125,100,76,0,0 to 118,49,638,469,6,1113,0,0,45,754,2,412,13,363,747,0,3,1110,335,28,0,0,194,169,0,363,9,14,57,58,37,43,50,25,31,39,0,0 to 106,45,285,25,20,33,51,273,39,28,0,20,0,0,3,363,169,194,363,0,0,3279,0,3649,3279,363,3,514,497,920490830.042053,148547.348006441,cb6285a2-da2e-4583-aad5-1221776836ae,46
2,2,54,107,PUTNAM,Putnam,FL,4625,107,235,537,686,608,687,729,500,339,181,16,0 to 118,47,2760,1812,53,4616,9,0,426,3681,133,1167,25,1508,3115,0,2,4614,930,577,1,0,782,703,22,1507,38,140,262,235,227,201,181,105,74,40,5,0 to 100,38,714,416,187,190,294,974,239,286,1,168,0,0,26,1508,704,782,1507,1,0,11418,8,12945,11426,1508,26,280,212,2142439482.67719,232574.925675008,ce511c5d-2638-44a3-b2f8-b13847543637,38
3,3,62,123,TAYLOR,Taylor,FL,1975,43,60,196,399,361,314,275,197,92,34,4,0 to 118,42,801,1152,22,1966,9,0,60,1420,3,710,29,961,1007,0,7,1959,911,47,3,0,224,734,0,958,2,17,94,256,229,178,106,49,21,9,0,4 to 92,40,405,332,52,169,89,660,209,71,0,22,0,0,4,961,734,227,958,3,0,4220,6,5214,4226,961,4,803,703,2685252568.13834,267348.178950349,541bd5a3-4453-499a-9896-f0edc5353d0b,40
4,4,46,091,OKALOOSA,Okaloosa,FL,10382,233,307,1157,1702,1531,1391,1451,1078,843,645,44,0 to 119,46,6063,4203,116,10220,161,1,550,7457,137,1529,131,3502,6842,1,37,10183,3299,173,25,5,1869,1548,55,3472,36,120,598,717,567,479,426,282,161,112,4,0 to 103,39,1752,323,629,768,459,2100,913,287,4,158,2,0,41,3502,1560,1887,3471,30,1,25696,133,29374,25829,3502,41,3047,2616,2369222670.29688,330553.160278386,eb5d2450-a892-40fd-9ba4-9821a7438525,39
5,5,7,013,CALHOUN,Calhoun,FL,1024,13,31,99,152,176,142,157,122,86,46,0,0 to 99,47,515,493,16,1024,0,0,30,613,4,325,12,475,548,0,1,1023,459,16,0,0,195,279,1,475,2,14,50,90,86,65,61,45,35,27,0,1 to 99,44,284,45,28,118,17,324,134,47,0,29,0,0,7,475,279,195,475,0,0,3502,0,3993,3502,475,7,519,458,1487626835.10838,192207.890331272,3b55aa95-5170-4caf-82a3-e99ad7459349,44
6,6,50,099,PALM BEACH,Palm Beach,FL,98654,1613,2816,9457,13807,13097,14321,15636,12776,8674,4789,1668,0 to 119,50,53346,44912,396,97628,1024,2,7637,77639,465,24568,672,37020,61199,165,270,97198,36126,508,378,8,18828,17645,161,36634,618,1402,5415,6974,6108,5726,4745,2730,1803,1430,69,0 to 106,41,13654,5867,6166,10947,10167,14148,12319,3872,44,2795,29,16,931,37020,17841,19001,36632,386,2,241868,661,280133,242529,37020,931,9661,9396,5710098601.29486,464192.459734082,cc4a8da3-38f1-429a-a0cb-00ffdaa43da7,41
7,7,56,111,ST. LUCIE,St. Lucie,FL,16001,299,470,1458,2171,2186,2480,2579,2131,1366,803,58,0 to 119,50,9215,6511,275,15848,153,0,1236,11635,188,3993,144,5772,9951,5,273,15570,5632,117,23,0,3124,2554,71,5749,111,239,784,984,932,911,768,498,299,223,23,0 to 104,43,1843,1229,838,1839,1168,2247,2334,520,2,367,2,1,166,5772,2565,3136,5749,23,0,37023,132,42981,37155,5772,166,3731,3716,1499679486.67142,252832.323289834,399b37a3-aa4a-40d4-aa83-5a2ba14bd0c4,43
8,8,51,101,PASCO,Pasco,FL,20775,396,609,2093,2829,2954,3301,3351,2773,1667,739,63,0 to 119,49,11716,8953,106,20673,102,0,1429,15329,223,5602,243,7080,13588,2,105,20566,6904,139,36,1,3640,3360,43,7043,109,236,1070,1236,1118,1114,924,650,381,206,36,0 to 105,42,4415,489,1014,1125,1432,4032,1579,849,9,550,4,1,128,7080,3378,3659,7043,37,0,60396,68,67594,60464,7080,128,4353,3802,1975344274.45807,225211.500752162,83116673-3fad-423e-b67e-dfe7515f5e81,42
9,9,20,039,GADSDEN,Gadsden,FL,4513,101,212,455,760,790,768,646,484,187,97,13,0 to 119,44,2771,1712,30,4491,21,1,239,3538,46,1075,26,1884,2621,1,7,4484,1824,52,8,0,953,904,19,1876,43,111,254,335,364,327,219,132,62,26,11,0 to 105,39,441,634,248,553,304,786,786,232,0,115,0,0,21,1884,904,961,1875,8,1,11009,16,12947,11025,1884,21,806,611,1367889846.39806,205127.330650714,77657ea6-12d6-4645-9915-e7357c9f40d6,39
10,10,37,073,LEON,Leon,FL,17604,288,540,3101,2996,2511,2501,2575,1919,743,382,48,0 to 119,42,9166,8320,118,17296,307,1,1061,14270,201,3352,160,4965,12618,1,20,17276,4804,55,102,4,2545,2304,10,4859,70,207,1685,967,639,555,489,216,77,44,16,0 to 105,29,1446,1550,488,1375,340,2502,2017,365,14,136,11,7,24,4965,2358,2597,4858,106,1,54461,225,59765,54686,4965,24,2163,1748,1817477697.41779,246081.909627491,ff3d6d6c-1645-4c7e-bc93-049a674c4499,29
