OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1151,31,45,143,153,148,157,165,127,104,78,0,0 to 118,49,660,485,6,1151,0,0,59,756,2,452,14,387,760,0,4,1147,355,32,0,0,206,181,0,387,9,15,60,61,43,46,52,27,34,40,0,0 to 106,45,315,26,21,25,52,304,31,38,0,24,0,0,6,387,181,206,387,0,0,3368,0,3762,3368,387,6,554,537,{CB6285A2-DA2E-4583-AAD5-1221776836AE},45,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,4676,109,243,548,687,617,692,736,504,342,181,17,0 to 118,47,2780,1848,48,4667,9,0,601,3506,133,1360,26,1559,3115,0,2,4665,965,593,1,0,803,738,17,1558,40,148,273,237,236,206,187,109,77,40,6,0 to 100,38,792,449,189,128,326,1060,172,301,1,176,0,0,29,1559,739,803,1558,1,0,11708,8,13291,11716,1559,29,284,216,{CE511C5D-2638-44A3-B2F8-B13847543637},38,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,2060,44,63,207,424,383,325,283,199,93,35,4,0 to 118,42,818,1220,22,2051,9,0,61,1436,3,755,29,1027,1027,0,6,2045,974,50,3,0,234,790,0,1024,2,17,102,276,247,188,110,53,22,10,0,4 to 92,39,492,456,57,19,114,851,59,77,0,27,0,0,5,1027,790,237,1024,3,0,4300,6,5361,4306,1027,5,827,727,{541BD5A3-4453-499A-9896-F0EDC5353D0B},39,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,10556,234,322,1185,1727,1555,1408,1474,1096,853,657,45,0 to 119,46,6158,4287,111,10395,160,1,579,7394,137,1625,136,3632,6887,1,36,10359,3419,185,23,5,1944,1610,50,3604,36,126,622,739,580,491,441,295,171,126,5,0 to 103,39,1902,340,637,725,489,2245,870,313,4,174,2,0,49,3632,1621,1961,3603,28,1,26279,134,30089,26413,3632,49,3199,2768,{EB5D2450-A892-40FD-9BA4-9821A7438525},39,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,1040,13,33,101,153,180,146,158,122,89,45,0,0 to 99,47,524,501,15,1040,0,0,30,539,4,431,12,484,555,0,1,1039,468,16,0,0,201,282,1,484,2,14,51,91,88,67,62,45,38,26,0,1 to 99,44,301,81,29,73,22,380,82,52,0,31,0,0,8,484,282,201,484,0,0,3659,0,4159,3659,484,8,533,472,{3B55AA95-5170-4CAF-82A3-E99AD7459349},44,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,99996,1640,2883,9642,14027,13294,14539,15825,12897,8736,4848,1665,0 to 119,50,54085,45515,396,99010,984,2,7964,78163,465,25539,705,38208,61346,163,279,98573,37298,563,339,8,19495,18198,168,37861,631,1462,5582,7185,6283,5917,4916,2817,1860,1488,67,0 to 106,41,14087,6068,6502,11204,10461,14756,12644,4056,46,2927,31,16,964,38208,18376,19653,37859,347,2,248797,660,288256,249457,38208,964,9894,9630,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},41,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,16312,305,487,1497,2219,2237,2517,2628,2161,1385,818,58,0 to 119,50,9394,6645,273,16160,152,0,1301,11705,188,4190,151,6040,9991,5,276,15879,5898,120,22,0,3279,2667,72,6018,115,249,813,1025,981,944,811,522,317,240,23,0 to 104,43,1974,1315,887,1842,1242,2420,2356,543,2,384,2,1,188,6040,2678,3290,6018,22,0,38101,132,44326,38233,6040,188,3924,3909,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,21035,406,622,2122,2868,3007,3341,3387,2796,1676,745,65,0 to 119,49,11848,9074,113,20932,103,0,1526,15185,223,6099,261,7283,13634,2,116,20814,7107,138,37,1,3742,3456,47,7245,112,245,1090,1271,1155,1146,952,668,391,215,38,0 to 105,42,4776,518,1092,859,1602,4458,1185,911,9,608,4,1,141,7283,3475,3761,7245,38,0,62153,68,69552,62221,7283,141,4582,4031,{83116673-3FAD-423E-B67E-DFE7515F5E81},42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,4612,105,221,461,775,810,787,663,487,189,99,15,0 to 119,44,2796,1782,34,4590,21,1,335,3427,46,1221,29,1984,2622,1,5,4585,1925,51,8,0,982,968,26,1976,48,119,259,351,386,346,235,135,64,28,13,0 to 105,40,479,692,286,519,340,900,736,265,0,137,0,0,26,1984,969,989,1975,8,1,11286,16,13328,11302,1984,26,812,618,{77657EA6-12D6-4645-9915-E7357C9F40D6},40,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,17904,295,551,3209,3046,2547,2541,2597,1929,752,386,51,0 to 119,41,9334,8447,123,17584,319,1,1227,14314,201,3592,167,5235,12635,2,32,17552,5062,57,112,4,2701,2405,13,5119,76,215,1778,1018,673,590,505,226,86,49,19,0 to 105,29,1535,1626,561,1397,361,2678,2080,385,14,145,10,7,26,5235,2467,2755,5118,116,1,56579,226,62159,56805,5235,26,2262,1846,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},29,2.4286163266357628,0.1707040441862682
