OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,MedianAge,NewPos,NewNeg,NewTested,NewPercPos,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1161,30,47,143,155,150,160,165,128,105,78,0,0 to 118,49,664,491,6,1161,0,0,60,764,2,454,14,398,760,0,3,1158,366,32,0,0,211,187,0,398,9,16,60,64,45,49,52,28,35,40,0,0 to 106,45,321,27,21,29,54,310,34,39,0,24,0,0,7,398,187,211,398,0,0,3388,0,3793,3388,398,7,552,535,{CB6285A2-DA2E-4583-AAD5-1221776836AE},45,10,49,59,0.169491525423729,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,4695,109,243,551,689,623,693,738,508,342,181,18,0 to 118,47,2791,1856,48,4686,9,0,605,3503,133,1370,26,1576,3117,0,2,4684,982,593,1,0,813,745,17,1575,40,148,275,239,241,207,190,112,77,40,7,0 to 100,38,801,454,192,128,328,1075,172,304,1,177,0,0,30,1576,746,813,1575,1,0,11765,8,13364,11773,1576,30,283,215,{CE511C5D-2638-44A3-B2F8-B13847543637},38,17,286,303,0.0561056105610561,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,2100,44,63,212,434,395,331,288,200,94,35,4,0 to 118,42,818,1260,22,2091,9,0,61,1472,3,765,29,1069,1025,0,6,2085,1016,50,3,0,237,829,0,1066,2,17,108,286,260,194,115,54,23,10,0,4 to 92,39,501,470,60,35,115,877,74,77,0,27,0,0,5,1069,829,240,1066,3,0,4329,6,5432,4335,1069,5,836,736,{541BD5A3-4453-499A-9896-F0EDC5353D0B},39,43,41,84,0.511904761904762,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,10577,235,324,1190,1726,1558,1408,1480,1098,853,658,47,0 to 119,46,6167,4297,113,10416,160,1,581,7362,137,1648,136,3653,6885,1,38,10378,3440,185,23,5,1955,1619,51,3625,36,127,627,737,584,493,447,296,172,127,7,0 to 103,39,1932,341,635,717,490,2279,856,320,4,182,2,0,50,3653,1630,1972,3624,28,1,26445,134,30277,26579,3653,50,3224,2793,{EB5D2450-A892-40FD-9BA4-9821A7438525},39,30,419,449,0.066815144766147,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,1045,13,33,101,155,181,147,161,122,87,45,0,0 to 99,47,528,502,15,1045,0,0,31,539,4,434,12,488,556,0,1,1044,472,16,0,0,204,283,1,488,2,14,51,92,89,68,64,46,36,26,0,1 to 99,44,305,81,31,71,22,383,83,53,0,31,0,0,8,488,283,204,488,0,0,3678,0,4182,3678,488,8,536,475,{3B55AA95-5170-4CAF-82A3-E99AD7459349},44,6,44,50,0.12,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,100394,1641,2896,9710,14097,13363,14609,15869,12926,8758,4862,1663,0 to 119,50,54292,45706,396,99406,986,2,8053,78345,465,25761,710,38575,61376,163,280,98968,37655,571,341,8,19688,18369,169,38226,631,1473,5647,7249,6345,5980,4961,2841,1879,1504,65,0 to 106,41,14196,6137,6614,11279,10514,14920,12792,4133,46,2963,31,16,976,38575,18554,19843,38224,349,2,251300,659,291132,251959,38575,976,9925,9661,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},41,360,5139,5499,0.0654664484451719,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,16401,307,492,1506,2229,2255,2529,2641,2168,1392,823,59,0 to 119,50,9433,6696,272,16248,153,0,1314,11726,188,4242,153,6125,9995,5,276,15967,5981,121,23,0,3316,2715,71,6102,116,254,820,1034,999,955,823,528,327,245,24,0 to 104,43,2012,1331,906,1853,1257,2459,2386,549,2,389,2,1,195,6125,2726,3328,6102,23,0,38655,132,44965,38787,6125,195,3961,3946,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},43,82,972,1054,0.0777988614800759,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,21111,408,624,2138,2875,3019,3357,3399,2801,1678,746,66,0 to 119,49,11881,9113,117,21008,103,0,1543,15184,223,6178,265,7348,13644,2,117,20889,7171,139,37,1,3771,3489,50,7310,113,246,1103,1274,1168,1159,963,673,394,216,39,0 to 105,42,4836,522,1097,855,1627,4508,1175,937,9,624,4,1,145,7348,3508,3790,7310,38,0,62712,68,70176,62780,7348,145,4623,4072,{83116673-3FAD-423E-B67E-DFE7515F5E81},42,69,1279,1348,0.051186943620178,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,4628,105,223,462,775,813,791,665,489,190,100,15,0 to 119,44,2802,1791,35,4606,21,1,338,3402,46,1227,29,1999,2622,1,6,4600,1940,51,8,0,988,976,27,1991,48,120,260,351,389,350,237,137,65,29,13,0 to 105,40,486,705,285,515,350,934,707,270,0,142,0,0,26,1999,977,995,1990,8,1,11357,16,13415,11373,1999,26,814,620,{77657EA6-12D6-4645-9915-E7357C9F40D6},40,20,128,148,0.135135135135135,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,17968,296,553,3221,3063,2560,2551,2603,1931,753,386,51,0 to 119,41,9376,8470,122,17648,319,1,1270,14303,201,3635,169,5290,12641,2,35,17613,5117,57,112,4,2736,2426,12,5174,77,216,1790,1033,684,598,510,228,86,49,19,0 to 105,29,1556,1644,574,1400,367,2727,2080,392,14,146,10,7,26,5290,2488,2790,5173,116,1,57052,226,62688,57278,5290,26,2282,1866,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},29,50,878,928,0.0538793103448276,2.4286163266357628,0.1707040441862682
11,11,33,065,JEFFERSON,Jefferson,FL,1072,24,27,87,135,159,168,207,166,77,21,1,0 to 101,51,467,602,3,1063,9,0,27,793,41,378,18,462,607,1,2,1060,406,50,6,0,110,346,0,456,5,8,45,84,77,87,90,45,13,8,0,0 to 95,46,184,244,20,8,23,402,31,41,2,26,0,0,5,462,351,111,456,6,0,2584,4,3065,2588,462,5,295,257,{862C7BAB-C64B-458C-A6FA-56543968D206},46,1,26,27,0.037037037037037,2.2049309352502724,0.14849665622997743
12,12,40,079,MADISON,Madison,FL,1846,93,117,214,235,248,271,248,232,121,61,6,0 to 99,45,1126,716,4,1814,32,0,93,1037,53,886,57,748,1096,1,1,1812,495,240,12,1,426,309,0,735,36,60,103,107,114,125,97,63,19,24,0,0 to 98,40,196,490,32,17,43,640,52,132,1,34,0,1,10,748,313,435,735,13,0,4432,19,5210,4451,748,10,853,754,{89851E42-542B-499A-AC7E-D8F5369F3D0B},40,8,21,29,0.275862068965517,2.169691637311982,0.1740263300452793
13,13,39,077,LIBERTY,Liberty,FL,2399,11,18,220,696,572,423,296,109,38,8,8,0 to 105,39,308,2085,6,2399,0,0,12,1939,1,247,7,410,1989,0,0,2399,406,4,0,0,91,319,0,410,4,6,65,89,75,83,63,17,7,1,0,0 to 85,40,268,114,12,16,18,291,101,21,0,8,0,0,7,410,319,91,410,0,0,2722,0,3132,2722,410,7,357,332,{59B90335-EF4E-4E77-88C2-FC6BCC9D4032},40,3,34,37,0.0810810810810811,3.020973914923982,0.20464132709324395
14,14,24,047,HAMILTON,Hamilton,FL,2300,35,59,224,584,450,360,267,191,80,47,3,0 to 118,40,624,1659,17,2292,8,0,69,1910,9,617,14,629,1670,0,1,2291,529,95,4,1,235,389,0,624,24,42,97,135,102,98,74,37,14,6,0,0 to 90,37,274,300,42,8,92,377,155,82,1,23,0,0,4,629,392,237,624,5,0,4297,3,4931,4300,629,4,50,48,{D384B6BB-17B0-4808-9D73-78CB54C43AAB},36,4,273,277,0.0144404332129964,2.301523665227496,0.12636783551306294
15,15,3,005,BAY,Bay,FL,7776,98,121,931,1263,1191,1330,1260,818,457,238,69,0 to 119,47,4033,3649,94,7682,94,0,966,4937,28,3752,154,4720,3035,0,21,7661,4508,138,72,2,2270,2324,52,4646,57,89,737,904,790,817,661,391,192,64,18,0 to 99,41,2522,465,557,1102,338,2868,1440,526,14,225,5,5,61,4720,2368,2299,4646,74,0,23168,38,27986,23206,4720,61,378,371,{A66F3B06-8EE0-4DEC-843E-F41D712AAD2F},41,76,355,431,0.176334106728538,5.422685209627352,0.1810274207185009
16,16,12,023,COLUMBIA,Columbia,FL,6066,134,190,489,905,960,924,1060,779,387,228,10,0 to 119,48,2661,3341,64,6042,24,0,714,2984,63,3012,26,2985,3076,0,5,6037,2724,250,9,2,868,2105,1,2974,57,100,282,560,582,519,441,269,128,46,1,0 to 102,43,1234,496,129,1115,135,1532,1307,59,1,146,2,0,24,2985,2113,871,2974,11,0,10955,13,14009,10968,2985,24,71,70,{6958D394-62B5-4F73-A62A-0FA2389D4FB3},43,31,170,201,0.154228855721393,2.6336786210355756,0.19383765365800731
17,17,2,003,BAKER,Baker,FL,2034,48,48,224,395,393,334,306,155,93,36,2,0 to 99,42,825,1171,38,1975,59,0,161,1460,16,576,17,1059,940,0,35,1940,962,97,0,0,267,792,0,1059,5,17,107,251,254,180,154,52,30,9,0,1 to 97,40,438,138,41,442,14,529,516,65,0,38,0,0,4,1059,792,267,1059,0,0,5088,59,6231,5147,1059,4,637,636,{393E3BC9-079E-4AD6-9162-D77EE72FEB59},40,6,191,197,0.0304568527918782,1.7712451943566485,0.14260223696131116
18,18,30,059,HOLMES,Holmes,FL,1368,26,46,140,203,209,224,210,192,85,32,1,0 to 119,48,681,673,14,1349,19,0,35,825,5,454,61,524,841,0,3,1346,447,67,7,3,193,320,1,514,11,18,72,107,103,86,57,44,18,8,0,0 to 96,39,362,81,35,36,25,410,79,33,0,16,0,0,4,524,324,199,514,10,0,3803,9,4343,3812,524,4,547,541,{BD5E2BC2-C55E-45E6-8687-0C7528780CD1},39,6,38,44,0.136363636363636,1.7364459249798063,0.117992933758262
19,19,43,085,MARTIN,Martin,FL,10248,208,350,981,1195,1277,1358,1666,1565,1122,503,23,0 to 100,53,5155,4699,394,10143,105,0,887,6945,82,3427,113,3907,6292,1,48,10095,3862,20,25,0,1884,1978,20,3882,106,219,620,659,633,597,429,267,218,156,3,0 to 100,39,1744,236,1051,851,1806,1442,634,596,4,344,3,1,104,3907,1993,1894,3882,25,0,22371,77,26392,22448,3907,104,2061,2050,{14DC1D1D-CE53-4995-9CF2-039FE1559F59},39,23,370,393,0.0585241730279898,2.9786699421185125,0.15345842849064345
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,83540,1955,3002,9628,14265,12657,12855,12485,9023,4812,2278,580,0 to 119,44,46532,36487,521,83063,477,0,4267,70165,458,11109,499,33694,49627,22,197,82844,32987,570,132,5,17803,15501,253,33557,732,1548,5617,7100,5443,5082,3823,2072,1157,652,468,0 to 119,37,11367,4359,4540,13291,8322,9872,15363,2706,20,1479,14,5,458,33694,15561,17879,33557,137,0,217520,351,252035,217871,33694,458,6110,5763,{12BE5E4E-9D96-4B8E-8617-77C84F3BC487},37,261,3143,3404,0.0766745005875441,3.452361349671768,0.2518380530212434
21,21,41,081,MANATEE,Manatee,FL,23858,471,902,2305,2927,2932,3231,3929,3840,2335,872,114,0 to 119,52,13199,10286,373,23521,337,0,2464,18658,177,5736,93,9662,14181,3,12,23506,9479,81,102,0,4970,4444,146,9560,229,613,1549,1699,1550,1415,1188,733,455,220,11,0 to 101,39,4324,903,1320,3013,2469,3418,3673,592,8,680,7,2,245,9662,4493,5020,9560,102,0,77981,267,87979,78248,9662,245,693,594,{0AD77407-CEAA-4C6B-9E84-485E7D0FA9CC},39,111,1784,1895,0.0585751978891821,3.591796951963094,0.17764804033812803
22,22,10,019,CLAY,Clay,FL,11581,174,377,1215,1437,1687,1944,1905,1552,895,371,24,0 to 101,49,6547,4874,160,11550,31,0,881,8540,130,2208,135,3389,8177,1,14,11535,3252,124,13,0,1846,1518,12,3376,33,114,542,499,536,594,468,308,192,103,0,0 to 100,44,1728,576,284,788,324,2179,873,525,1,242,1,0,61,3389,1524,1853,3376,13,0,32448,18,35874,32466,3389,61,2203,2170,{D8B9952E-371D-460F-96AE-4666BDB4AD84},44,23,551,574,0.0400696864111498,1.7757499535538475,0.15589240376785884
23,23,25,049,HARDEE,Hardee,FL,2075,68,185,334,373,282,292,248,179,82,32,0,0 to 95,37,1062,986,27,2066,9,0,87,788,2,1277,24,1006,1066,1,2,2063,723,276,6,1,466,528,5,999,26,86,180,193,154,154,108,70,27,8,0,0 to 93,36,731,92,112,64,621,306,72,140,3,105,3,1,8,1006,533,468,999,7,0,5389,2,6415,5391,1006,8,1609,1508,{30DCFC30-6A6D-4712-9819-F2940D3F56ED},35,8,72,80,0.1,1.6007568790090916,0.15097302168698645
24,24,42,083,MARION,Marion,FL,25459,334,651,2222,3487,3467,3720,4074,3954,2507,980,63,0 to 168,51,15438,9923,98,25422,37,0,5926,13182,177,8856,254,7030,18171,1,257,25166,6839,177,13,1,4203,2764,49,7016,87,203,867,1378,1365,1141,926,553,324,149,37,0 to 104,41,4194,1463,556,803,935,4783,1298,936,5,559,0,0,111,7030,2767,4214,7016,14,0,47505,25,54671,47530,7030,111,1813,1648,{76CC1B01-DF08-469D-A322-71F8D05597D9},41,112,722,834,0.134292565947242,3.4027287982358554,0.3994264389187175
25,25,64,127,VOLUSIA,Volusia,FL,28262,337,628,2299,3444,3323,4100,5361,4687,2553,1228,302,0 to 119,54,15708,11950,604,28120,142,0,1874,22677,230,6237,325,8308,19863,0,91,28030,7417,832,53,6,4345,3854,50,8249,117,286,1269,1487,1182,1231,1178,799,459,271,29,0 to 103,43,3826,1083,1660,1680,1454,4630,2165,1056,9,627,7,0,151,8308,3885,4373,8249,59,0,68058,85,76560,68143,8308,151,3179,2557,{3B926974-437E-4986-9BFF-D87D276166F4},43,110,1627,1737,0.0633275762809442,5.331197028695852,0.2895888803878252
26,26,15,029,DIXIE,Dixie,FL,1398,27,57,129,187,270,196,214,180,93,44,1,0 to 118,46,681,708,9,1398,0,0,57,740,6,621,8,572,823,0,3,1395,534,38,0,0,191,381,0,572,2,19,53,97,131,92,82,61,28,7,0,2 to 91,43,386,135,14,37,35,486,51,50,0,34,0,0,4,572,381,191,572,0,0,3677,0,4262,3677,572,4,546,491,{2691DAEB-CC0B-4ABC-A209-FE46CE33086C},43,2,64,66,0.0303030303030303,2.2860035232508604,0.16986935676523782
