OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1287,33,63,161,183,163,183,176,138,107,80,0,0 to 118,47,736,546,5,1287,0,0,81,778,2,573,17,505,780,1,1,1285,461,44,0,0,267,237,1,505,10,25,73,92,59,69,62,36,36,43,0,0 to 106,43,419,30,26,30,77,395,33,71,0,38,0,0,12,505,237,267,505,0,0,4090,0,4604,4090,505,12,647,630,{CB6285A2-DA2E-4583-AAD5-1221776836AE},4,27,31,0.129032258064516,43,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,5400,140,385,651,776,710,781,821,563,361,186,26,0 to 118,45,3166,2177,57,5390,10,0,798,3277,133,2002,31,2067,3319,0,14,5376,1252,813,1,1,1093,956,16,2065,49,206,334,306,308,282,256,168,94,45,19,0 to 100,39,1189,559,235,82,422,1513,130,368,1,227,0,0,38,2067,957,1094,2065,2,0,14760,8,16847,14768,2067,38,894,828,{CE511C5D-2638-44A3-B2F8-B13847543637},9,71,80,0.1125,39,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,2415,50,84,258,481,461,374,334,229,101,39,4,0 to 118,41,959,1435,21,2406,9,0,66,1557,3,1098,29,1302,1105,0,8,2398,1240,59,3,0,330,969,0,1299,5,24,138,320,313,228,153,78,30,13,0,1 to 92,39,662,540,76,21,131,1103,65,98,0,41,0,0,12,1302,969,333,1299,3,0,5145,6,6482,5151,1302,12,1141,1042,{541BD5A3-4453-499A-9896-F0EDC5353D0B},11,31,42,0.261904761904762,39,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,11825,243,420,1406,1934,1743,1577,1656,1203,909,687,47,0 to 119,45,6849,4894,82,11653,171,1,655,7486,137,2513,192,4769,7020,1,35,11618,4519,211,34,5,2562,2121,47,4730,56,162,810,940,745,641,604,397,238,168,8,0 to 103,40,2577,437,898,818,609,3200,921,461,4,285,3,0,102,4769,2139,2583,4729,39,1,31474,132,36424,31606,4769,102,4393,3967,{EB5D2450-A892-40FD-9BA4-9821A7438525},17,386,403,0.0421836228287841,40,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,1280,21,85,140,183,210,174,177,141,100,49,0,0 to 99,45,650,616,14,1279,1,0,49,557,4,530,13,608,671,0,1,1278,582,25,1,0,260,346,1,607,5,25,68,113,107,85,76,58,43,28,0,0 to 99,43,403,92,41,71,26,492,89,60,1,32,1,0,10,608,347,260,607,1,0,4289,0,4907,4289,608,10,889,828,{3B55AA95-5170-4CAF-82A3-E99AD7459349},1,22,23,0.0434782608695652,43,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,108793,1816,3287,11490,15271,14495,15805,16940,13642,9223,5176,1648,0 to 119,49,58946,49437,410,107743,1048,2,9967,81286,465,33075,953,45602,62686,157,348,107243,44520,670,405,7,23499,21516,175,45190,738,1769,7237,8304,7278,6979,5830,3340,2239,1805,83,0 to 106,41,17629,7362,8243,11956,12343,19178,13669,4913,60,3537,41,21,1286,45602,21736,23681,45188,412,2,311239,642,358110,311881,45602,1286,12743,12479,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},171,2365,2536,0.0674290220820189,41,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,18712,383,681,1841,2560,2608,2885,2931,2389,1503,867,64,0 to 119,49,10702,7772,238,18556,156,0,1778,11791,188,6007,237,7846,10596,4,266,18286,7668,151,26,1,4263,3490,66,7819,140,345,1035,1299,1275,1222,1039,723,432,297,39,0 to 104,43,3037,1805,1122,1855,1793,3732,2294,775,3,643,2,1,269,7846,3505,4275,7819,27,0,51503,130,59530,51633,7846,269,6189,6173,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},23,479,502,0.0458167330677291,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,23315,456,898,2539,3189,3319,3687,3674,2975,1769,788,21,0 to 119,48,13094,10146,75,23190,125,0,2074,15080,223,8395,382,8934,14243,3,135,23052,8697,177,58,2,4636,4232,6,8874,133,341,1365,1529,1411,1414,1180,819,477,256,9,0 to 105,42,6407,656,1374,437,2164,6120,590,1145,10,803,5,1,204,8934,4259,4669,8874,60,0,79519,70,88580,79589,8934,204,7836,7287,{83116673-3FAD-423E-B67E-DFE7515F5E81},36,605,641,0.0561622464898596,42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,5443,131,291,583,883,949,931,790,552,208,105,20,0 to 119,43,3161,2260,22,5421,21,1,542,3264,46,1848,40,2739,2697,0,7,5415,2678,53,8,0,1304,1411,16,2731,65,161,372,453,513,487,359,197,81,33,18,0 to 98,40,774,1111,478,368,494,1693,544,398,0,206,0,0,45,2739,1412,1311,2730,8,1,13587,16,16380,13603,2739,45,1244,1049,{77657EA6-12D6-4645-9915-E7357C9F40D6},26,160,186,0.139784946236559,40,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,23022,432,705,6405,3526,2884,2819,2853,2069,823,448,58,0 to 119,36,12406,10486,130,22520,501,1,2073,16393,201,5267,222,10125,12876,4,17,22501,9756,71,293,5,5495,4294,38,9827,165,333,4831,1480,1000,858,755,375,173,129,26,0 to 105,23,3577,2537,1364,2349,797,5111,3919,583,21,220,11,9,57,10125,4423,5663,9826,298,1,75334,213,85812,75547,10125,57,4419,4006,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},111,1161,1272,0.0872641509433962,23,2.4286163266357628,0.1707040441862682
