OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge_2,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1335,37,65,168,192,173,186,187,139,108,80,0,0 to 118,46,749,581,5,1335,0,0,86,779,2,607,17,540,793,1,1,1333,491,49,0,0,276,263,1,540,11,27,77,100,68,71,69,37,37,43,0,0 to 106,42,440,39,31,30,83,421,36,75,0,39,0,0,17,540,263,276,540,0,0,4338,0,4887,4338,540,17,672,655,{CB6285A2-DA2E-4583-AAD5-1221776836AE},0,33,33,0,42,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,5860,162,505,753,819,751,823,878,603,367,191,8,0 to 118,44,3414,2398,48,5850,10,0,859,3160,133,2546,32,2269,3571,0,20,5830,1325,942,1,1,1197,1061,9,2267,54,234,373,331,333,307,293,199,96,48,1,0 to 100,39,1361,612,232,62,459,1715,93,396,1,244,0,0,48,2269,1062,1198,2267,2,0,16328,8,18615,16336,2269,48,1395,1331,{CE511C5D-2638-44A3-B2F8-B13847543637},8,180,188,0.0425531914893617,39,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,2614,57,125,278,508,483,399,358,251,110,41,4,0 to 118,41,1043,1551,20,2605,9,0,71,1602,3,1287,29,1422,1186,0,6,2599,1358,61,3,0,385,1034,0,1419,6,26,149,341,332,246,172,97,36,17,0,1 to 94,40,733,563,78,45,130,1202,87,115,0,55,0,0,15,1422,1034,388,1419,3,0,5562,6,7016,5568,1422,15,1419,1320,{541BD5A3-4453-499A-9896-F0EDC5353D0B},4,29,33,0.121212121212121,40,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,13512,277,723,1797,2127,1976,1734,1890,1298,945,697,48,0 to 119,44,7767,5659,86,13334,177,1,717,7801,137,3317,244,5793,7659,1,59,13275,5532,214,42,5,3099,2602,45,5746,64,225,991,1105,904,765,799,479,273,179,9,0 to 103,40,2969,468,1237,1072,658,4000,1088,509,5,312,5,1,128,5793,2624,3124,5745,47,1,36744,130,42728,36874,5793,128,7303,6877,{EB5D2450-A892-40FD-9BA4-9821A7438525},39,484,523,0.0745697896749522,40,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,1369,24,91,153,198,221,189,187,152,103,51,0,0 to 99,44,686,669,14,1368,1,0,55,556,4,576,19,669,699,0,1,1367,630,38,1,0,282,385,1,668,6,26,75,125,116,95,85,66,46,29,0,0 to 99,43,449,98,47,74,28,542,98,65,1,36,1,0,14,669,386,282,668,1,0,4457,0,5136,4457,669,14,941,880,{3B55AA95-5170-4CAF-82A3-E99AD7459349},1,8,9,0.111111111111111,43,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,113333,1903,3599,12473,15954,15096,16468,17497,14022,9436,5284,1601,0 to 119,49,61309,51690,334,112262,1069,2,10951,82383,465,37065,1162,49011,63929,153,240,111874,47883,694,425,9,25232,23203,142,48577,771,1914,8035,8912,7744,7494,6250,3563,2386,1892,50,0 to 106,41,19735,7844,8877,12121,13239,21468,13870,5441,65,3933,44,23,1490,49011,23438,25427,48575,434,2,346018,636,396277,346654,49011,1490,15176,14912,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},139,3335,3474,0.0400115141047784,41,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,20046,437,829,2097,2710,2745,3093,3124,2514,1562,909,26,0 to 119,48,11456,8426,164,19889,157,0,2000,11545,188,7317,280,8599,11181,4,262,19623,8415,155,28,1,4711,3857,2,8570,154,379,1159,1405,1365,1354,1177,813,475,317,1,0 to 104,43,3578,2003,1182,1807,1973,4378,2219,910,4,734,3,1,317,8599,3873,4724,8570,29,0,59175,127,67956,59302,8599,317,8085,8070,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},39,565,604,0.0645695364238411,43,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,25414,509,1235,3000,3454,3592,3937,3893,3111,1856,814,13,0 to 119,47,14188,11149,77,25272,142,0,2152,15558,223,10220,473,10216,15029,4,165,25103,9904,235,75,2,5297,4838,4,10139,153,415,1622,1718,1605,1594,1340,930,557,280,2,0 to 105,42,7310,729,1563,537,2428,7000,711,1267,10,952,5,1,225,10216,4874,5338,10139,77,0,90665,70,101012,90735,10216,225,10704,10155,{83116673-3FAD-423E-B67E-DFE7515F5E81},51,1002,1053,0.0484330484330484,42,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,5851,150,353,665,929,1023,984,841,575,222,106,3,0 to 119,42,3390,2453,8,5828,22,1,661,3189,46,2255,46,3030,2814,1,6,5822,2941,80,9,0,1478,1541,2,3021,74,197,411,490,573,532,407,216,94,35,1,0 to 98,40,893,1266,563,299,570,2011,440,445,0,235,0,0,54,3030,1543,1485,3020,9,1,14702,16,17794,14718,3030,54,1531,1336,{77657EA6-12D6-4645-9915-E7357C9F40D6},11,126,137,0.0802919708029197,40,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,24942,522,830,7143,3760,3117,3004,3032,2161,866,462,45,0 to 119,35,13467,11363,112,24403,538,1,2602,16610,201,7331,258,11639,13271,4,28,24373,11220,83,331,5,6272,5007,24,11303,205,406,5364,1686,1218,1018,909,460,214,149,10,0 to 105,24,4446,2933,1539,2385,950,6297,4056,674,25,272,12,11,98,11639,5149,6464,11302,336,1,83553,212,95550,83765,11639,98,5494,5082,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},24,760,784,0.0306122448979592,24,2.4286163266357628,0.1707040441862682
