OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,SHAPE_Length,SHAPE_Area
1,1,21,041,GILCHRIST,Gilchrist,FL,1471,38,84,195,214,192,207,202,145,113,81,0,0 to 118,45,784,682,5,1471,0,0,93,794,2,721,18,649,819,1,2,1468,587,62,0,0,299,349,1,649,11,34,98,120,86,92,83,39,42,44,0,0 to 106,41,492,44,32,81,84,477,88,82,0,43,0,0,19,649,349,299,649,0,0,4714,0,5374,4714,649,19,736,719,{CB6285A2-DA2E-4583-AAD5-1221776836AE},4,32,36,0.111111111111111,1.4292666722912122,0.0858306455074465
2,2,54,107,PUTNAM,Putnam,FL,6263,174,558,815,853,801,877,941,653,384,199,8,0 to 118,44,3631,2588,44,6250,13,0,943,3123,133,2962,54,2520,3718,0,25,6225,1448,1067,3,2,1334,1173,8,2515,58,255,404,351,366,345,332,239,113,56,1,0 to 100,40,1546,670,242,57,477,1949,89,416,2,268,2,0,54,2520,1177,1335,2515,5,0,18114,8,20654,18122,2520,54,1646,1583,{CE511C5D-2638-44A3-B2F8-B13847543637},11,256,267,0.0411985018726592,2.246427873742215,0.19954202112213038
3,3,62,123,TAYLOR,Taylor,FL,2802,65,163,298,527,512,419,384,264,123,43,4,0 to 118,41,1147,1635,20,2792,10,0,82,1611,3,1479,30,1552,1243,0,7,2785,1470,78,4,0,447,1101,0,1548,8,40,157,350,356,268,194,110,50,19,0,1 to 95,40,839,574,80,55,131,1325,92,132,0,62,0,0,20,1552,1102,450,1548,4,0,5980,6,7563,5986,1552,20,1641,1542,{541BD5A3-4453-499A-9896-F0EDC5353D0B},5,43,48,0.104166666666667,2.5842937862081867,0.25118054425022496
4,4,46,091,OKALOOSA,Okaloosa,FL,15737,324,1112,2145,2439,2237,2001,2202,1463,1025,737,52,0 to 119,42,8938,6695,104,15529,207,1,807,8028,137,4668,342,7353,8293,1,90,15439,7012,263,72,6,3892,3331,52,7275,81,329,1189,1369,1122,987,1060,630,352,224,10,0 to 103,40,3684,589,1438,1564,727,4979,1569,573,5,369,6,1,139,7353,3369,3932,7274,78,1,41835,129,49382,41964,7353,139,10676,10251,{EB5D2450-A892-40FD-9BA4-9821A7438525},74,617,691,0.107091172214182,3.2142959002474103,0.2230733675938685
5,5,7,013,CALHOUN,Calhoun,FL,1544,33,119,187,218,230,214,205,173,112,53,0,0 to 99,44,771,759,14,1542,2,0,65,557,4,660,19,781,759,0,4,1538,704,75,2,0,333,445,1,779,9,35,90,137,120,119,103,83,54,31,0,0 to 99,44,528,109,57,85,30,638,111,75,1,39,1,0,19,781,446,334,779,2,0,4735,0,5526,4735,781,19,1167,1106,{3B55AA95-5170-4CAF-82A3-E99AD7459349},5,73,78,0.0641025641025641,1.881030493274878,0.13964927894629456
6,6,50,099,PALM BEACH,Palm Beach,FL,123223,2143,4382,14345,17681,16514,17876,18698,14713,9825,5443,1603,0 to 119,48,66332,56512,379,122031,1190,2,12987,85044,465,43393,1447,56907,65843,151,322,121564,55499,859,539,10,29089,27091,178,56358,879,2313,9607,10448,8924,8618,7225,4093,2704,2045,51,0 to 106,40,24246,8529,9891,13692,15248,26077,15033,5947,73,4255,52,24,1619,56907,27385,29331,56356,549,2,400248,642,458414,400890,56907,1619,20192,19928,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},388,4969,5357,0.0724285980959492,4.371977007213128,0.5176263954580347
7,7,56,111,ST. LUCIE,St. Lucie,FL,21777,510,1002,2400,2968,2980,3314,3332,2681,1634,930,26,0 to 119,48,12389,9221,167,21625,152,0,2238,11635,188,8653,363,9690,11785,4,298,21323,9505,162,22,1,5289,4374,4,9667,173,424,1326,1585,1527,1508,1334,949,529,334,1,0 to 104,43,4262,2175,1309,1921,2186,5123,2358,1034,4,825,4,1,345,9690,4385,5301,9667,23,0,66571,128,76446,66699,9690,345,10025,10010,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},63,815,878,0.071753986332574,2.4043656096016006,0.13681239009025967
8,8,51,101,PASCO,Pasco,FL,28452,585,1774,3603,3754,3951,4368,4192,3356,1997,858,14,0 to 119,46,15807,12563,82,28284,168,0,2348,16179,223,11959,622,12199,16051,4,198,28082,11756,339,102,2,6329,5759,7,12095,192,567,1943,1967,1884,1920,1579,1144,686,315,2,0 to 105,42,8766,829,1744,756,2800,8307,988,1456,12,1105,7,1,251,12199,5806,6386,12095,104,0,104725,69,117060,104794,12199,251,15336,14787,{83116673-3FAD-423E-B67E-DFE7515F5E81},112,1225,1337,0.0837696335078534,2.211523841717279,0.18173091103067956
9,9,20,039,GADSDEN,Gadsden,FL,5986,159,379,688,947,1036,998,851,586,232,107,3,0 to 119,42,3466,2510,10,5962,23,1,678,3194,46,2374,50,3113,2865,2,6,5955,3018,85,10,0,1520,1579,4,3103,79,202,424,506,582,546,413,222,103,35,1,0 to 98,40,942,1309,588,264,589,2118,396,453,1,246,0,0,56,3113,1581,1528,3102,10,1,15899,16,19075,15915,3113,56,1648,1453,{77657EA6-12D6-4645-9915-E7357C9F40D6},7,113,120,0.0583333333333333,2.0333919169340233,0.1286336058610035
10,10,37,073,LEON,Leon,FL,27071,581,910,8107,4083,3352,3180,3165,2242,909,495,47,0 to 119,34,14578,12370,123,26473,597,1,2937,17218,201,8932,318,13326,13710,4,31,26440,12833,97,390,6,7105,5790,35,12930,220,451,6072,1969,1430,1169,1027,536,259,182,11,0 to 106,24,5292,3308,1719,2611,1147,7525,4258,754,28,312,15,12,120,13326,5954,7332,12929,396,1,96386,211,110065,96597,13326,120,6419,6008,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},98,1899,1997,0.0490736104156234,2.4286163266357628,0.1707040441862682
