OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge
1,1,21,041,GILCHRIST,Gilchrist,FL,2518,77,222,387,341,344,353,320,220,162,92,0,0 to 118,41,1385,1122,11,2514,4,0,231,1070,2,1567,33,1512,1000,1,5,2508,1297,211,2,2,799,702,7,1508,33,115,235,239,218,218,183,116,97,58,0,0 to 106,40,1182,89,55,182,127,1180,201,125,0,75,0,0,38,1512,704,801,1508,4,0,6496,0,8025,6496,1512,38,1454,1437,920490830.042053,148547.348006441,cb6285a2-da2e-4583-aad5-1221776836ae,12,29,41,0.292682926829268,40
2,2,54,107,PUTNAM,Putnam,FL,10217,339,981,1383,1362,1302,1400,1483,1070,624,264,9,0 to 118,42,5786,4394,37,10189,28,0,1786,3799,133,7264,91,6080,4096,0,41,10148,3698,2362,13,7,3282,2761,17,6060,152,532,909,834,832,829,862,639,348,141,2,0 to 100,42,4056,1349,488,167,810,4980,270,735,2,529,2,1,135,6080,2772,3291,6060,20,0,26040,0,32131,26040,6080,135,2996,2942,2142439482.67719,232574.925675008,ce511c5d-2638-44a3-b2f8-b13847543637,9,189,198,0.0454545454545455,42
3,3,62,123,TAYLOR,Taylor,FL,4328,147,409,516,708,694,619,575,403,187,64,6,0 to 118,40,1949,2364,15,4319,9,0,152,2003,3,2845,48,2695,1625,0,8,4311,2423,267,5,0,1071,1616,3,2690,35,120,318,499,526,432,370,236,118,40,1,0 to 98,41,1643,806,120,121,149,2338,203,189,0,96,0,0,45,2695,1618,1074,2690,5,0,8180,0,10902,8180,2695,45,2568,2474,2685252568.13834,267348.178950349,541bd5a3-4453-499a-9896-f0edc5353d0b,0,18,18,0,41
4,4,46,091,OKALOOSA,Okaloosa,FL,32420,812,3804,4726,4972,4743,3985,4218,2586,1568,936,70,0 to 119,38,17625,14571,224,32089,330,1,1888,11107,137,14718,1013,19834,12473,2,111,31979,18214,1410,194,16,10377,9110,137,19624,266,1264,2952,3613,3166,2667,2854,1669,894,458,31,0 to 103,40,13560,1812,2079,2173,1715,15036,2873,1052,14,694,17,5,353,19834,9222,10473,19623,210,1,67026,0,86937,67026,19834,353,28567,28154,2369222670.29688,330553.160278386,eb5d2450-a892-40fd-9ba4-9821a7438525,17,358,375,0.0453333333333333,40
5,5,7,013,CALHOUN,Calhoun,FL,2833,89,368,388,329,379,358,349,292,186,93,2,0 to 99,41,1477,1335,21,2830,3,0,189,590,4,1377,46,1663,1163,0,7,2823,1438,222,3,0,813,840,7,1660,31,114,211,229,230,232,223,194,124,74,1,0 to 99,45,1135,184,211,130,38,1394,228,131,2,57,2,0,42,1663,842,814,1660,3,0,6037,0,7711,6037,1663,42,2258,2201,1487626835.10838,192207.890331272,3b55aa95-5170-4caf-82a3-e99ad7459349,0,54,54,0,45
6,6,50,099,PALM BEACH,Palm Beach,FL,214340,4930,14203,28216,32415,29603,31089,30247,21401,13499,7121,1616,0 to 119,43,113753,99493,1094,211240,3098,2,31489,110026,465,102861,3536,133836,79670,134,700,210414,129853,1582,2380,21,68173,62459,803,131435,2450,8204,20918,24167,20536,20289,17702,9993,5882,3635,60,0 to 107,40,66749,18602,22894,23190,34497,67193,29745,8909,154,6454,113,52,2676,133836,63695,69285,131433,2401,2,689865,0,824489,689865,133836,2676,56791,56533,5710098601.29486,464192.459734082,cc4a8da3-38f1-429a-a0cb-00ffdaa43da7,255,3776,4031,0.0632597370379558,40
7,7,56,111,ST. LUCIE,St. Lucie,FL,40658,1209,3116,5373,5637,5479,5878,5761,4399,2559,1209,38,0 to 119,43,22590,17883,185,40347,311,0,4888,14676,188,23268,877,24351,15838,7,462,39880,23966,209,174,2,13217,10918,40,24175,436,1354,3367,3921,3685,3733,3438,2459,1339,614,5,0 to 104,43,12199,4949,3129,3898,5544,13782,4849,2299,23,1675,14,1,598,24351,11006,13305,24175,176,0,107524,0,131952,107524,24351,598,25284,25268,1499679486.67142,252832.323289834,399b37a3-aa4a-40d4-aa83-5a2ba14bd0c4,62,465,527,0.117647058823529,43
8,8,51,101,PASCO,Pasco,FL,58655,1288,5048,8106,7628,8114,8811,8013,6308,3832,1474,33,0 to 119,43,32074,26455,126,58262,393,0,3465,28033,223,28768,1566,37137,21078,3,437,57822,35338,1476,317,5,19663,17086,65,36814,579,2316,5359,5422,5473,5786,5037,3834,2408,914,8,0 to 105,43,27135,2182,4273,3224,7122,24557,5135,3398,59,2436,44,8,696,37136,17218,19832,36814,322,0,187422,0,224670,187422,37136,696,26956,26420,1975344274.45807,225211.500752162,83116673-3fad-423e-b67e-dfe7515f5e81,125,1269,1394,0.0896700143472023,44
9,9,20,039,GADSDEN,Gadsden,FL,8836,301,797,1082,1294,1431,1398,1229,812,338,151,3,0 to 119,41,5085,3727,24,8806,29,1,1173,3760,46,4724,99,5545,3277,1,13,8793,5104,425,13,3,2902,2608,19,5529,154,467,747,819,943,925,778,430,203,78,1,0 to 98,41,1593,2721,934,281,913,4187,429,731,1,417,0,0,90,5545,2612,2914,5528,16,1,22182,0,27770,22182,5545,90,3021,2827,1367889846.39806,205127.330650714,77657ea6-12d6-4645-9915-e7357c9f40d6,1,101,102,0.00980392156862745,41
10,10,37,073,LEON,Leon,FL,46839,1572,2772,13864,7387,5835,5256,4912,3204,1345,643,49,0 to 119,31,25510,21110,219,45744,1094,1,7428,21262,201,23428,851,30488,16295,8,48,45690,29309,288,873,18,16337,13121,139,29597,715,1679,10978,5037,3735,3127,2707,1464,693,343,10,0 to 106,27,14280,9148,3523,2646,2826,22472,4299,1514,48,659,37,32,307,30488,13507,16832,29596,891,1,149107,0,179760,149107,30488,307,13724,13323,1817477697.41779,246081.909627491,ff3d6d6c-1645-4c7e-bc93-049a674c4499,41,1088,1129,0.0363153232949513,28
